"tree_label","display_label","coxal_wall_opening"
"Curculionidae___Dendroctonus","Dendroctonus","Absent"
"Curculionidae___Oxoplatypus","Oxoplatypus","Present"
"Curculionidae___Sitophilus","Sitophilus","Absent"
"Brentidae___Nanophyes","Nanophyes","Absent"
"Brentidae___Arrhenodes","Arrhenodes","Absent"
"Caridae___Car","Car","Absent"
"Attelabidae___Synolabus","Synolabus","Present"
"Belidae___Agnesiotis","Agnesiotis","Present"
"Anthribidae___Euparius","Euparius","Absent"
"Nemonychidae___Rhynchitomacerinus","Rhynchitomacerinus","Absent"
