"specimen_key";"specimen_id";"taxon_binomial";"sampled_genus";"family";"proxy_tip";"analysis_tree_tip";"family_proxy_label";"tree_label_correction_applied";"proxy_tip_n_specimens";"exact_genus_match";"assignment_type";"assignment_rationale"
"Anthribus_nebulosus";"240_anthribus_nebulosus_trochanter_aligned";"Anthribus nebulosus";"Anthribus";"Anthribidae";"Euparius";"Euparius";"Anthribidae___Euparius";FALSE;4;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Euparius_paganus";"314_euparius_paganus_trochanter_aligned";"Euparius paganus";"Euparius";"Anthribidae";"Euparius";"Euparius";"Anthribidae___Euparius";FALSE;4;TRUE;"exact sampled-genus match";"sampled genus occurs as a tree tip"
"Ormiscus_saltator";"310_ormiscus_saltator_trochanter_aligned";"Ormiscus saltator";"Ormiscus";"Anthribidae";"Euparius";"Euparius";"Anthribidae___Euparius";FALSE;4;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Urodon_rufipes";"u_rufipes_trochanter_mirrored_aligned";"Urodon rufipes";"Urodon";"Anthribidae";"Euparius";"Euparius";"Anthribidae___Euparius";FALSE;4;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Coenorhinus_pauxillus";"coenorhinus_pauxillus_trochanter_aligned";"Coenorhinus pauxillus";"Coenorhinus";"Attelabidae";"Synolabus";"Synolabus";"Attelabidae___Synolabus";FALSE;4;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Merhynchites";"304_merynchites_trochanter_aligned";"Merhynchites";"Merhynchites";"Attelabidae";"Synolabus";"Synolabus";"Attelabidae___Synolabus";FALSE;4;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Paramechoris_hirtus";"307_trochanter_aligned";"Paramechoris hirtus";"Paramechoris";"Attelabidae";"Synolabus";"Synolabus";"Attelabidae___Synolabus";FALSE;4;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Rynchites_cupreus";"rynchites_cupreus_trochanter_aligned";"Rhynchites cupreus";"Rhynchites";"Attelabidae";"Synolabus";"Synolabus";"Attelabidae___Synolabus";FALSE;4;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Proterhinus";"306_proterhinus_trochanter_aligned";"Proterhinus";"Proterhinus";"Belidae";"Belidae";"Agnesiotis";"Belidae___Agnesiotis";TRUE;1;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Apion_frumentarium";"a_frumentarium_trochanter_aligned";"Apion frumentarium";"Apion";"Brentidae";"Arrhenodes";"Arrhenodes";"Brentidae___Arrhenodes";FALSE;6;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Apion_haematodes";"a_haematodes_trochanter_aligned";"Apion haematodes";"Apion";"Brentidae";"Arrhenodes";"Arrhenodes";"Brentidae___Arrhenodes";FALSE;6;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Aspidapion_validum";"a_validum_trochanter_aligned";"Aspidapion validum";"Aspidapion";"Brentidae";"Arrhenodes";"Arrhenodes";"Brentidae___Arrhenodes";FALSE;6;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Brentus";"317_brentus_trochanter_mirrored_aligned";"Brentus";"Brentus";"Brentidae";"Arrhenodes";"Arrhenodes";"Brentidae___Arrhenodes";FALSE;6;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Oxystoma";"oxystoma_trochanter_aligned";"Oxystoma";"Oxystoma";"Brentidae";"Arrhenodes";"Arrhenodes";"Brentidae___Arrhenodes";FALSE;6;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
