"response","method","predictor_axes","minimum_abs_winding_angle_deg","n","R2","F","df1","df2","P"
"abs_winding_angle_deg","Linear PCA",2,30,60,0.2977749731889,12.0852809453722,2,57,4.2128368996882e-05
"abs_winding_angle_deg","Linear PCA",5,30,60,0.372301750229902,6.40571947421492,5,54,9.70595129202288e-05
"abs_winding_angle_deg","Legacy kPCA",2,30,60,0.303599852188649,12.4247472011169,2,57,3.32259461450786e-05
"abs_winding_angle_deg","Legacy kPCA",5,30,60,0.37652861708886,6.52236682551837,5,54,8.21269765062306e-05
"abs_winding_angle_deg","Adaptive kPCA",2,30,60,0.364058279142631,16.3154273658546,2,57,2.49685634137067e-06
"abs_winding_angle_deg","Adaptive kPCA",5,30,60,0.394599544189036,7.03943156358029,5,54,3.95723904047114e-05
"axial_span","Linear PCA",2,30,60,0.142854832318429,4.74991037059401,2,57,0.0123608933782844
"axial_span","Linear PCA",5,30,60,0.185713164759532,2.46313963655158,5,54,0.0441118355306844
"axial_span","Legacy kPCA",2,30,60,0.139118055693842,4.60558455604508,2,57,0.0139924118139229
"axial_span","Legacy kPCA",5,30,60,0.187983086272829,2.50021557116073,5,54,0.0415297784843799
"axial_span","Adaptive kPCA",2,30,60,0.056134392813889,1.69497668207798,2,57,0.192725686445858
"axial_span","Adaptive kPCA",5,30,60,0.236471925836359,3.34486299253656,5,54,0.0105309155917778
"axial_pitch","Linear PCA",2,30,60,0.0403210000036558,1.19743007829552,2,57,0.309450193641817
"axial_pitch","Linear PCA",5,30,60,0.0647806393913605,0.74809283778233,5,54,0.591066529923774
"axial_pitch","Legacy kPCA",2,30,60,0.0416894019989428,1.23983597744638,2,57,0.297118227211982
"axial_pitch","Legacy kPCA",5,30,60,0.0654065469017618,0.755826722514796,5,54,0.585558462661731
"axial_pitch","Adaptive kPCA",2,30,60,0.0578098028754699,1.74866962846688,2,57,0.183210166403938
"axial_pitch","Adaptive kPCA",5,30,60,0.0715429010804928,0.832201436736829,5,54,0.532559749369215
