"figure_id","relative_path","bytes","width_px","height_px","sha256"
"Extended Data Figure 1","Extended_Data_Figures/Extended_Data_Figure_1_family_disparity_180mm.png","225034","4254","1950","9b29370b6b44f2a2612efd60f509b8f32a288e53630e9c2be5876743014c22c7"
"Extended Data Figure 2","Extended_Data_Figures/Extended_Data_Figure_2_joint_character_combinations_180mm.png","297517","4251","2173","fd7e0522b72d89614d789aebdd513d4180dee89af784f7d40d2ed7a7166ee1e5"
"Extended Data Figure 3","Extended_Data_Figures/Extended_Data_Figure_3_allometry_180mm.png","718682","3545","3975","9978c7c535891b167a901190abb9761748740980d49f03a74581b6ed65526a53"
"Extended Data Figure 4","Extended_Data_Figures/Extended_Data_Figure_4_phylogenetic_signal_180mm.png","93395","3545","1850","fea3fb726548408a6bc6c57d68b5253a37ae705d7f8cfdcfa2d1c822644bc50a"
"Extended Data Figure 5","Extended_Data_Figures/Extended_Data_Figure_5_ancestral_state_reconstructions_180mm.png","340682","3545","3100","77a8eb9721e1f23a56278796fe7f8390f6a2d9a0bb12c049c85e102e89bad4b1"
"Extended Data Figure 6","Extended_Data_Figures/Extended_Data_Figure_6_evolutionary_model_support_180mm.png","113311","3545","2425","865198a13005cf4d7ac3a1988c09c708fba04557317e4a13659c8cfab085cec6"
"Figure 1","Main_Figures/Figure_1_phylogeny_and_live_weevils.png","1759158","2126","1387","533d80d207eb3ca5ee1bf805f584bd65f05ed89bc7dd1c21c1734eb3f8dc2012"
"Figure 2","Main_Figures/Figure_2_morphospace_trochanter_meshes_180mm.png","756649","4250","2037","ed1bbe52069e03ddb16b189f6bc1b358e39dcdd7abdd1ebc2fd974f4c1315a88"
"Figure 3","Main_Figures/Figure_3_PC1_PC5_extrema_heatmap_180mm.png","903385","4252","2835","5013b162f9596ebe1cf94466a77f1da4fc3401abea460b83c91dd1568cdea0e7"
"Figure 4","Main_Figures/Figure_4_joint_typology.png","2138413","2126","2126","baa72ad80f888e3199fb1fdf420d0fdecc1c307f92d4d578225746e965dddfc9"
"Figure 5","Main_Figures/Figure_5_screw_geometry_and_morphospace_180mm.png","768207","3545","1970","e6189b4794d29b78e3b44b08fd59d5ff1c1eabf13e547473d11ccec86b7f51d4"
"Supplementary Figure 1","Supplementary_Figures/Supplementary_Fig_1_variance_explained_principal_components_180mm.png","58014","3060","1690","7b82cbf9661202b5196f84a2d53d9ceb1444308bd3fa46f280dfaaee606f5fb5"
"Supplementary Figure 10","Supplementary_Figures/Supplementary_Fig_10_shape_geometry_fit_quality_diagnostics_180mm.png","574914","3545","4000","d6005ad9b1c4af6d4d9cb9ef78e87a8ff19742b872c9df20414231f484edbea5"
"Supplementary Figure 11","Supplementary_Figures/Supplementary_Fig_11_axial_screw_geometry_relationships_180mm.png","293200","3545","1800","8f006cf30b221790d2e628951fa97b777f683d2abf4d68525209485ef63d78e9"
"Supplementary Figure 12","Supplementary_Figures/Supplementary_Fig_12_PGLS_shape_vs_axial_span_180mm.png","199318","3545","1800","c2055e2add9c2b4935b1eb32cc152a5d629473e7895266a82d435aa2a1b9eeb0"
"Supplementary Figure 13","Supplementary_Figures/Supplementary_Fig_13_screw_geometry_by_joint_type_180mm.png","287368","3545","1450","b847243c5f1c07e18a00a53e890ed6c2fdf368955f49bb9006f0c8e2789dd1a1"
"Supplementary Figure 14","Supplementary_Figures/Supplementary_Fig_14_additional_specimen_allometry_180mm.png","1157175","3545","4150","c0b811fdd055ccb043b0f78212c1c686f093c4e0da345e4aa5753b8bc845c68f"
"Supplementary Figure 15","Supplementary_Figures/Supplementary_Fig_15_phylomorphospace_PC1_PC2_180mm.png","400771","4254","2490","533f84a6062f16e31aa45bd22aa409ae2e53212e57aeca203f96ad84d044370f"
"Supplementary Figure 16","Supplementary_Figures/Supplementary_Fig_16_PGLS_shape_vs_screw_geometry_180mm.png","335689","3545","3850","6ef2562f909303e8ed73ccd16f540f8e47bf6098258c292d34036170ba49d175"
"Supplementary Figure 17","Supplementary_Figures/Supplementary_Fig_17_tree_sensitivity_PGLS_slopes_180mm.png","252860","3545","2200","b654566190983a6a2e489013bdcd529e5f1ce7c213b1fe55cea9736a493a9fc6"
"Supplementary Figure 18","Supplementary_Figures/Supplementary_Fig_18_leave_one_out_PGLS_slopes_180mm.png","288876","3545","3550","bf10205d38855639ca1387c7d82862d8f9e70ab3e84ea5dda452e793d2ce9f6f"
"Supplementary Figure 19","Supplementary_Figures/Supplementary_Fig_19_leave_one_out_Pagels_lambda_180mm.png","288088","3545","3550","f34876deb4bfbb91da555e5864e85594b21878a1f48827618f30db0395714f4c"
"Supplementary Figure 2","Supplementary_Figures/Supplementary_Fig_2_kPCA_morphospace_sensitivity_180mm.png","725199","3952","4324","3ee51b8c86647b2b87b8c8f355a48df6736e75516b19cc68a7e2cc3132182b42"
