"analysis_set","response","predictor","term","lambda","lambda_strategy","m","estimate","std_error","df","statistic","p_value","ci_low","ci_high","within_variance","between_variance","point_estimate","point_std_error","point_p_value","point_n_taxa"
"primary_adequate","angle","fungal_association_broad","fungal_association_broadyes",1,"point_estimate_lambda_fixed_across_measurement_draws",200,-61.7125489385712,48.4365351774319,2426175614.79446,-1.2740909049854,0.202631201441809,-156.646413469606,33.2213155924631,2345.42602929069,0.668567864585499,-61.6418950276436,48.4244250617409,0.234932732081273,11
"primary_adequate","angle","larval_lifestyle_broad","larval_lifestyle_broadother",1,"point_estimate_lambda_fixed_across_measurement_draws",200,30.0931153976568,40.4909400477413,2305770985.821,0.743206143452713,0.457356884575141,-49.2676688377454,109.453899633059,1639.03457305771,0.479256609025296,30.0045517214532,40.4750205537129,0.474034667787879,13
"primary_adequate","angle","woody_association_broad","woody_association_broadwoody",1,"point_estimate_lambda_fixed_across_measurement_draws",200,-10.7599890478135,43.03386097297,1235551083.41985,-0.250035409431934,0.802559965400206,-95.104806753164,73.584828657537,1851.16997122962,0.739521404267678,-10.6230129977734,43.0127575189378,0.812015467585864,9
"primary_adequate","axial_span","fungal_association_broad","fungal_association_broadyes",1,"point_estimate_lambda_fixed_across_measurement_draws",200,-0.0793010540284398,0.0424846744143367,585798.897514318,-1.86658024620942,0.0619607274926396,-0.162569657823189,0.00396754976630892,0.00177168031392184,3.31017374829457e-05,-0.0665439962834012,0.0428542952915762,0.15488918225788,11
"primary_adequate","axial_span","larval_lifestyle_broad","larval_lifestyle_broadother",0,"point_estimate_lambda_fixed_across_measurement_draws",200,0.0556197416577271,0.0379527564497458,1382428.78850512,1.46549939610775,0.142784944435037,-0.0187663592254243,0.130005842540878,0.00142312980968622,1.71959327835846e-05,0.0435536919545982,0.0383455231232565,0.280172291037556,13
"primary_adequate","axial_span","woody_association_broad","woody_association_broadwoody",1,"point_estimate_lambda_fixed_across_measurement_draws",200,-0.01382384477381,0.0400255649453289,693347.384916381,-0.345375381776423,0.729812287102093,-0.0922726474742564,0.0646249579266365,0.0015749048371127,2.70059821691984e-05,0.00047876203738621,0.0404154428362284,0.990879012976767,9
"strict_good","angle","fungal_association_broad","fungal_association_broadyes",1,"point_estimate_lambda_fixed_across_measurement_draws",200,-79.7025963105004,43.1284399767696,1536017358.32381,-1.84802873355565,0.0645981864334642,-164.232785440975,4.82759281997429,1859.39282651497,0.666177427706859,-79.6118439711107,43.0339051108014,0.101479831483597,10
"strict_good","angle","larval_lifestyle_broad","larval_lifestyle_broadother",0,"point_estimate_lambda_fixed_across_measurement_draws",200,-1.28856814837809,39.7306102376161,929087597.420743,-0.0324326291660655,0.974127041863464,-79.1591333993494,76.5819971025933,1577.79084198464,0.726913302207696,-1.29081265007806,39.6202865423785,0.974650950326126,12
"strict_good","angle","woody_association_broad","woody_association_broadwoody",1,"point_estimate_lambda_fixed_across_measurement_draws",200,-60.2445000495137,38.1672438151063,489255395.124509,-1.57843464781885,0.114465791326028,-135.050923501344,14.5619234023168,1455.80944779498,0.924430494318952,-60.0517723157218,38.0278607002569,0.165380329606245,8
"strict_good","axial_span","fungal_association_broad","fungal_association_broadyes",0,"point_estimate_lambda_fixed_across_measurement_draws",200,-0.0841022947746928,0.0310425058743764,164742.908773074,-2.70926242601161,0.00674399492999732,-0.144944935288634,-0.0232596542607519,0.000930145507601631,3.33250381682225e-05,-0.0724165144862822,0.0316038536167411,0.0511543479153264,10
"strict_good","axial_span","larval_lifestyle_broad","larval_lifestyle_broadother",0,"point_estimate_lambda_fixed_across_measurement_draws",200,0.0245295984486392,0.0294765317910652,352468.467105503,0.832173833153414,0.405311395272013,-0.0332435406419779,0.0823027375392563,0.000848220722860948,2.05424911131638e-05,0.0107904927943055,0.0283249764224611,0.711206017959149,12
"strict_good","axial_span","woody_association_broad","woody_association_broadwoody",0,"point_estimate_lambda_fixed_across_measurement_draws",200,-0.0477652813888247,0.0331604345204207,157910.901710281,-1.44042990025991,0.149747791965706,-0.112759036928418,0.0172284741507683,0.00106057881328561,3.88413973109419e-05,-0.0310705972548426,0.0344446548917772,0.401791708139825,8
