analysis_level,set_label,model,fit_status,delta_plot,converged,AIC,AICc,logLik
Univariate,PC1,BM,converged,0.000000000000000,TRUE,-29.5803939203263,-28.5803939203263,16.7901969601632
Univariate,PC1,OU,converged,3.181818181818166,TRUE,-27.5803939203263,-25.3985757385081,16.7901969601632
Univariate,PC1,EB,converged,3.108948595850251,TRUE,-27.6532635062942,-25.4714453244761,16.8266317531471
Univariate,PC2,BM,converged,0.000000000000000,TRUE,-33.5493498932893,-32.5493498932893,18.7746749466447
Univariate,PC2,OU,converged,3.181818181818173,TRUE,-31.5493498932893,-29.3675317114711,18.7746749466447
Univariate,PC2,EB,converged,0.736283195250699,TRUE,-33.9948848798568,-31.8130666980386,19.9974424399284
Univariate,PC3,BM,converged,5.642672057985667,TRUE,-17.2805674098864,-16.2805674098864,10.6402837049432
Univariate,PC3,OU,converged,0.000000000000000,TRUE,-24.1050576496903,-21.9232394678721,15.0525288248451
Univariate,PC3,EB,converged,8.824493143038575,TRUE,-15.2805645066517,-13.0987463248335,10.6402822533259
Univariate,PC4,BM,converged,0.317098598143247,TRUE,-34.8334866090737,-33.8334866090737,19.4167433045369
Univariate,PC4,OU,converged,0.000000000000000,TRUE,-36.3324033890352,-34.1505852072170,21.1662016945176
Univariate,PC4,EB,converged,3.498918451135367,TRUE,-32.8334849378998,-30.6516667560816,19.4167424689499
Univariate,PC5,BM,converged,4.966883092839950,TRUE,-39.3167247317715,-38.3167247317715,21.6583623658858
Univariate,PC5,OU,converged,0.000000000000000,TRUE,-45.4654260064297,-43.2836078246115,25.7327130032148
Univariate,PC5,EB,converged,8.148704113557592,TRUE,-37.3167218928721,-35.1349037110539,21.6583609464360
