response,predictor,model_type,dropped_taxon,term,estimate,p_value,lambda,n_taxa,reason,fdr_p_value
PC1,axial_span,leave_one_out,Curculionidae___Dendroctonus,axial_span,-0.4970263424377379,0.0361016872306876,1,13,NA,0.0692246892223739
PC1,axial_span,leave_one_out,Curculionidae___Ips,axial_span,-0.5021838506495409,0.0322500345977167,1,13,NA,0.0692246892223739
PC1,axial_span,leave_one_out,Curculionidae___Nedyus,axial_span,-0.4737239569706598,0.0504397719555667,1,13,NA,0.0692246892223739
PC1,axial_span,leave_one_out,Curculionidae___Curculio,axial_span,-0.4757300365938840,0.0470096555084932,1,13,NA,0.0692246892223739
PC1,axial_span,leave_one_out,Curculionidae___Larinus,axial_span,-0.4288371997955499,0.0648996994615037,1,13,NA,0.0738987189580332
PC1,axial_span,leave_one_out,Curculionidae___Diaprepes,axial_span,-0.4682952191677955,0.0495290340137380,1,13,NA,0.0692246892223739
PC1,axial_span,leave_one_out,Curculionidae___Oxoplatypus,axial_span,-0.9090639208389747,0.0257454841656792,1,13,NA,0.0692246892223739
PC1,axial_span,leave_one_out,Curculionidae___Sitophilus,axial_span,-0.6001240087262085,0.1275648486426847,1,13,NA,0.1275648486426847
PC1,axial_span,leave_one_out,Brentidae___Nanophyes,axial_span,-0.4325891549450010,0.0686202390324594,1,13,NA,0.0738987189580332
PC1,axial_span,leave_one_out,Brentidae___Arrhenodes,axial_span,-0.4861685156236458,0.0443566637874440,1,13,NA,0.0692246892223739
PC1,axial_span,leave_one_out,Caridae___Car,axial_span,-0.4602577864085430,0.0543908272461509,1,13,NA,0.0692246892223739
PC1,axial_span,leave_one_out,Attelabidae___Synolabus,axial_span,-0.4888162741040709,0.0425943902246701,1,13,NA,0.0692246892223739
PC1,axial_span,leave_one_out,Belidae___Agnesiotis,axial_span,-0.5251105035135712,0.0294479439471234,1,13,NA,0.0692246892223739
PC1,axial_span,leave_one_out,Anthribidae___Euparius,axial_span,-0.4629004696207849,0.0487535886938163,1,13,NA,0.0692246892223739
PC2,axial_span,leave_one_out,Curculionidae___Dendroctonus,axial_span,0.0922878221920962,0.6836923149370979,1,13,NA,0.9636221304322241
PC2,axial_span,leave_one_out,Curculionidae___Ips,axial_span,0.0899603280477470,0.6924211766378912,1,13,NA,0.9636221304322241
PC2,axial_span,leave_one_out,Curculionidae___Nedyus,axial_span,0.1025301115283083,0.6484857290466375,1,13,NA,0.9636221304322241
PC2,axial_span,leave_one_out,Curculionidae___Curculio,axial_span,0.0731116103957143,0.7497265792809956,1,13,NA,0.9636221304322241
PC2,axial_span,leave_one_out,Curculionidae___Larinus,axial_span,0.1160435545760581,0.6078055888585689,1,13,NA,0.9636221304322241
PC2,axial_span,leave_one_out,Curculionidae___Diaprepes,axial_span,0.0817201879536893,0.7141592366218358,1,13,NA,0.9636221304322241
PC2,axial_span,leave_one_out,Curculionidae___Oxoplatypus,axial_span,-0.0643065071233744,0.8760540040574275,1,13,NA,0.9636221304322241
PC2,axial_span,leave_one_out,Curculionidae___Sitophilus,axial_span,0.0179642989211745,0.9636221304322241,1,13,NA,0.9636221304322241
PC2,axial_span,leave_one_out,Brentidae___Nanophyes,axial_span,0.0380591737582105,0.8701036261777779,1,13,NA,0.9636221304322241
PC2,axial_span,leave_one_out,Brentidae___Arrhenodes,axial_span,0.0761247924593445,0.7427997901310727,1,13,NA,0.9636221304322241
PC2,axial_span,leave_one_out,Caridae___Car,axial_span,0.0122719829034937,0.9506728076649216,1,13,NA,0.9636221304322241
PC2,axial_span,leave_one_out,Attelabidae___Synolabus,axial_span,0.0801197927736562,0.7290334827350224,1,13,NA,0.9636221304322241
PC2,axial_span,leave_one_out,Belidae___Agnesiotis,axial_span,0.0726511976362517,0.7585072373773272,1,13,NA,0.9636221304322241
PC2,axial_span,leave_one_out,Anthribidae___Euparius,axial_span,0.0981429897378653,0.6111610751466450,1,13,NA,0.9636221304322241
