trait,trait_label,method,estimate,statistic,p_value,fdr_p_value,signal_status,sig_label
PC1,PC1,Blomberg's K,1.56880542094668e+00,NA,0.002000000000000000,0.00960000000000000,Signal detected,**
PC1,PC1,Pagel's lambda,1.03682927727923e+00,17.0801283195903,0.000168901483771774,0.00184255484603259,Signal detected,**
PC2,PC2,Blomberg's K,2.03003555273603e+00,NA,0.001000000000000000,0.00600000000000000,Signal detected,**
PC2,PC2,Pagel's lambda,1.05870404131069e+00,19.9571193178581,0.000083684124318333,0.00184255484603259,Signal detected,**
PC3,PC3,Blomberg's K,2.35047529811861e-01,NA,0.542000000000000370,0.72266666666666712,No signal detected,
PC3,PC3,Pagel's lambda,7.89532623255345e-05,17.3781369010238,1.000000000000000000,1.00000000000000000,No signal detected,
PC4,PC4,Blomberg's K,5.11441297812224e-01,NA,0.065000000000000044,0.12000000000000009,No signal detected,
PC4,PC4,Pagel's lambda,7.89532623255345e-05,20.5625744479510,1.000000000000000000,1.00000000000000000,No signal detected,
PC5,PC5,Blomberg's K,3.37344764882411e-01,NA,0.307000000000000217,0.46050000000000035,No signal detected,
PC5,PC5,Pagel's lambda,7.89532623255345e-05,26.7931479222821,1.000000000000000000,1.00000000000000000,No signal detected,
abs_winding_angle_deg,Absolute winding angle,Blomberg's K,8.97961215445744e-01,NA,0.008000000000000000,0.02400000000000000,Signal detected,*
abs_winding_angle_deg,Absolute winding angle,Pagel's lambda,7.72964202735995e-01,-81.8811896831507,0.016388790905617304,0.03575736197589278,Signal detected,*
axial_span,Axial span,Blomberg's K,3.66959974496020e-01,NA,0.223000000000000170,0.35680000000000028,No signal detected,
axial_span,Axial span,Pagel's lambda,4.40575627341465e-01,17.6945239174803,0.413108275879159881,0.58321168359410813,No signal detected,
