threshold_deg;response;formula;n;r_squared;adjusted_r_squared;F;df1;df2;model_p
0;absolute_winding_angle;angle_abs ~ PC1 + PC2;64;0.520983770603018;0.505278320458854;33.1721641736344;2;61;1.78107394161217e-10
0;axial_span;axial_metric ~ angle_abs;64;0.0497275136458575;0.0344005380595004;3.24444397824454;1;62;0.0765291937000508
0;endpoint_equivalent_axial_pitch;axial_pitch ~ PC1 + PC2;64;0.220937816065478;0.195394793641395;8.6496348160103;2;61;0.00049311678064063
10;absolute_winding_angle;angle_abs ~ PC1 + PC2;62;0.417324012718233;0.397572284335801;21.1284807404198;2;59;1.20254146651196e-07
10;axial_span;axial_metric ~ angle_abs;62;0.0862210955332051;0.0709914471254253;5.66139763864542;1;60;0.0205395721044511
10;endpoint_equivalent_axial_pitch;axial_pitch ~ PC1 + PC2;62;0.144138564280896;0.115126312222622;4.96819633275542;2;59;0.0101368264006261
20;absolute_winding_angle;angle_abs ~ PC1 + PC2;61;0.387563395867739;0.366444892276971;18.3518398546557;2;58;6.67994754522675e-07
20;axial_span;axial_metric ~ angle_abs;61;0.0409692631507833;0.0247145048991018;2.52044739862832;1;59;0.117723968227443
20;endpoint_equivalent_axial_pitch;axial_pitch ~ PC1 + PC2;61;0.142445828807216;0.112874995317809;4.81710564087571;2;58;0.01160340223784
30;absolute_winding_angle;angle_abs ~ PC1 + PC2;60;0.2977749731889;0.273135498563949;12.0852809453722;2;57;4.2128368996882e-05
30;axial_span;axial_metric ~ angle_abs;60;0.0365304497363776;0.0199189057663153;2.19910020418411;1;58;0.143505045020134
30;endpoint_equivalent_axial_pitch;axial_pitch ~ PC1 + PC2;60;0.0403210000036558;0.00664805263536294;1.19743007829552;2;57;0.309450193641817
45;absolute_winding_angle;angle_abs ~ PC1 + PC2;58;0.298383102782309;0.272869761065302;11.695179176917;2;55;5.85802326275207e-05
45;axial_span;axial_metric ~ angle_abs;58;0.10886135620462;0.0929481661368459;6.84095116950011;1;56;0.0114282488181222
45;endpoint_equivalent_axial_pitch;axial_pitch ~ PC1 + PC2;58;0.0592861975202032;0.0250784228845742;1.73312055963015;2;55;0.186243744735291
