table_block;model;subset;n;r_squared;adj_r_squared;f_statistic;df1;df2;p_model;intercept_estimate;intercept_p;PC1_estimate;PC1_p;PC2_estimate;PC2_p;predictor_name;predictor_estimate;predictor_p;correlation_value
regression_models;angle_abs ~ PC1 + PC2;full_dataset;53;0.059;0.021;1.57;2;50;0.218;412.433;1.21e-38;-190.909;0.172;-30.849;0.801;NA;NA;NA;NA
regression_models;axial_pitch ~ PC1 + PC2;full_dataset;53;0.002;-0.038;0.053;2;50;0.949;0.168;6.66e-22;-0.033;0.8;-0.005;0.964;NA;NA;NA;NA
regression_models;angle_abs ~ PC1 + PC2;main_region_PC1_lt_0.1;53;0.059;0.021;1.57;2;50;0.218;412.433;1.21e-38;-190.909;0.172;-30.849;0.801;NA;NA;NA;NA
regression_models;axial_span ~ angle_abs;full_dataset;53;0.073;0.055;4.026;1;51;0.0501;0.108;0.017;NA;NA;NA;NA;angle_abs;0.000206;0.0501;NA
regression_models;axial_pitch ~ angle_abs;full_dataset;53;0.14;0.124;8.33;1;51;0.0057;0.314;9.41e-08;NA;NA;NA;NA;angle_abs;-0.000341;0.0057;NA
regression_models;axial_pitch ~ axial_span;full_dataset;53;0.473;0.463;45.855;1;51;1.25e-08;0.009;0.726;NA;NA;NA;NA;axial_span;0.825251;1.25e-08;NA
correlations;angle_abs ~ PC1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.241
correlations;angle_abs ~ PC2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.151
correlations;axial_pitch ~ PC1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.0454
correlations;axial_pitch ~ PC2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.0284
