trait;model_type;n;estimate;std_error;t_value;p_value;r_squared;adj_r_squared;f_statistic;df_model;df_residual;response_transform;p_value_adjusted;significance_raw;significance_adjusted;p_adjust_method;trait_group
start_end_dist;lm_log_response;53;0,260742812105788;0,154543815373932;1,68717726733288;0,0976772672665781;0,0528644124045681;0,0342931263732852;2,84656713140485;1;51;log;1;ns;ns;holm;geometry_continuous
n_turns_abs;lm;53;0,105020389793124;0,0626847884752964;1,67537280331594;0,0999826762855625;0,0521657145241514;0,0335807285344289;2,80687403009069;1;51;none;1;ns;ns;holm;geometry_continuous
abs_winding_angle_deg;lm;53;37,8073403255242;22,5665238511066;1,67537280331593;0,0999826762855637;0,0521657145241511;0,0335807285344287;2,80687403009067;1;51;none;1;ns;ns;holm;geometry_continuous
signed_winding_angle_deg;lm;53;-37,8073403255242;22,5665238511066;-1,67537280331593;0,0999826762855637;0,0521657145241511;0,0335807285344287;2,80687403009067;1;51;none;1;ns;ns;holm;geometry_continuous
start_end_dist;lm;53;0,0746691649588463;0,0469426904201856;1,5906451950342;0,117869842787363;0,0472659246331727;0,0285848643318625;2,53015213648539;1;51;none;1;ns;ns;holm;geometry_continuous
axial_span;lm_log_response;53;0,0891193124980306;0,103641080322458;0,859884055827612;0,393877123048783;0,0142908611433948;-0,00503676903026395;0,739400589466545;1;51;log;1;ns;ns;holm;geometry_continuous
axial_span;lm;53;0,014852914245875;0,0174900487388388;0,849220860825406;0,399727199896976;0,0139435358058867;-0,00539090466850767;0,721176070461046;1;51;none;1;ns;ns;holm;geometry_continuous
fit_rms;lm;53;0,000871259141924642;0,00161891495766226;0,53817474339897;0,592797506818192;0,00564699029474743;-0,0138501275426104;0,289632054432547;1;51;none;1;ns;ns;holm;geometry_continuous
fit_rms;lm_log_response;53;0,0643884016874169;0,131855021157823;0,488327263702363;0,62741118048118;0,00465399428689662;-0,014862594060419;0,238463516475036;1;51;log;1;ns;ns;holm;geometry_continuous
axial_pitch_360;lm;53;0,00879461653805137;0,0210889347437161;0,417025167222916;0,678410207921045;0,00339841122421473;-0,0161427963988399;0,173909990097301;1;51;none;1;ns;ns;holm;geometry_continuous
fit_radius;lm;53;-0,000844267622616884;0,00708172520784223;-0,119217789145779;0,905571186472067;0,000278606302951174;-0,0193237739656182;0,0142128812488089;1;51;none;1;ns;ns;holm;geometry_continuous
fit_radius;lm_log_response;53;-0,00314927654569058;0,0282165459042904;-0,111610987268705;0,91156997454911;0,000244195500641048;-0,0193588594895424;0,0124570124790923;1;51;log;1;ns;ns;holm;geometry_continuous
ratio_start_end_fit_radius;lm_log_response;53;0,263892088651467;0,151812696753488;1,73827416477538;0,0881972375832936;0,055933131112405;0,0374220160361777;3,02159707192552;1;51;log;1;ns;ns;holm;geometry_ratio
ratio_start_end_fit_radius;lm;53;0,301466031547291;0,183365196584121;1,64407443267998;0,106312098805293;0,0503320430809724;0,0317111027492268;2,70298074019197;1;51;none;1;ns;ns;holm;geometry_ratio
ratio_axial_span_fit_radius;lm;53;0,0621902236674845;0,0676766785304254;0,918931381059512;0,36245733527673;0,0162878597288225;-0,00300061360982795;0,844434883095937;1;51;none;1;ns;ns;holm;geometry_ratio
ratio_axial_span_fit_radius;lm_log_response;53;0,0922685890437096;0,101065041411037;0,912962462147995;0,365558097516752;0,0160803428272821;-0,00321219947022211;0,833500457291328;1;51;log;1;ns;ns;holm;geometry_ratio
ratio_fit_rms_fit_radius;lm_log_response;53;0,0675376782330948;0,127500634209831;0,529704645405501;0,598615240973213;0,0054716029538038;-0,0140289538510234;0,280587011364173;1;51;log;1;ns;ns;holm;geometry_ratio
ratio_fit_rms_fit_radius;lm;53;0,00276221802371928;0,00617383516658633;0,44740715441656;0,656475665986997;0,00390961884426554;-0,0156215650999645;0,200173161823122;1;51;none;1;ns;ns;holm;geometry_ratio
