"response","predictor","term","estimate","std_error","t_value","p_value","lambda","logLik","AIC","n","model_fit_strategy","error","p_adj_fdr"
"PC1","woody_association_broad","woody_association_broadwoody",-0.0620356346989299,0.0712037752310947,-0.871240808476669,0.41250345110491,1,8.54110150336697,-13.0822030067339,9,"lambda_ML",NA,0.995892717632616
"PC2","woody_association_broad","woody_association_broadwoody",0.0581279524495945,0.0563155557880758,1.03218287800158,0.336324001827346,1,10.6522768741447,-17.3045537482894,9,"lambda_ML",NA,0.995892717632616
"abs_winding_angle_deg","woody_association_broad","woody_association_broadwoody",-10.6230129978871,43.0127575192608,-0.246973540190494,0.812015467585276,1,-49.0922542718516,102.184508543703,9,"lambda_ML",NA,0.995892717632616
"axial_span","woody_association_broad","woody_association_broadwoody",0.000478762035711761,0.0404154428362106,0.0118460173169947,0.990879013008661,1,13.6381064195065,-23.2762128390129,9,"lambda_ML",NA,0.995892717632616
"centroid_size","woody_association_broad","woody_association_broadwoody",-33.5755250360734,26.8586136519077,-1.25008406879141,0.251438984149553,0,-44.848095687725,93.6961913754499,9,"lambda_ML",NA,0.995892717632616
"PC1","larval_lifestyle_broad","larval_lifestyle_broadother",-0.00456048018390275,0.0574217310049935,-0.0794208064453188,0.938124355864144,1,12.6613607518885,-21.322721503777,13,"lambda_ML",NA,0.995892717632616
"PC2","larval_lifestyle_broad","larval_lifestyle_broadother",-0.000303024840246514,0.05754461341661,-0.00526591147728602,0.995892717632616,1,12.6335704978381,-21.2671409956763,13,"lambda_ML",NA,0.995892717632616
"abs_winding_angle_deg","larval_lifestyle_broad","larval_lifestyle_broadother",30.0045517215108,40.4750205533482,0.741310351701074,0.474034667783163,1,-72.5928663026439,149.185732605288,13,"lambda_ML",NA,0.995892717632616
"axial_span","larval_lifestyle_broad","larval_lifestyle_broadother",0.0435536919559792,0.0383455231227032,1.13582208323538,0.280172291016543,0,18.4134757813977,-32.8269515627953,13,"lambda_ML",NA,0.995892717632616
"centroid_size","larval_lifestyle_broad","larval_lifestyle_broadother",12.2920069440191,30.1753263156445,0.407352908645971,0.691563809143088,0.488104224989326,-68.5827372948888,141.165474589778,13,"lambda_ML",NA,0.995892717632616
"PC1","fungal_association_broad","fungal_association_broadyes",0.026368295679337,0.0730423893534246,0.36099990584578,0.726428071355469,1,10.1017044167386,-16.2034088334773,11,"lambda_ML",NA,0.995892717632616
"PC2","fungal_association_broad","fungal_association_broadyes",-0.00449691641639097,0.0529420269763234,-0.084940389955263,0.934168274547502,1,13.6419715256689,-23.2839430513377,11,"lambda_ML",NA,0.995892717632616
"abs_winding_angle_deg","fungal_association_broad","fungal_association_broadyes",-61.6418950276385,48.4244250620438,-1.27295047795941,0.23493273208401,1,-61.3622119176033,126.724423835207,11,"lambda_ML",NA,0.995892717632616
"axial_span","fungal_association_broad","fungal_association_broadyes",-0.0665439962833326,0.0428542952916085,-1.55279641936763,0.154889182258536,1,15.9672791702161,-27.9345583404321,11,"lambda_ML",NA,0.995892717632616
"centroid_size","fungal_association_broad","fungal_association_broadyes",-22.5889272095749,36.6862354123015,-0.615733038718943,0.553321235327382,0,-56.839673614255,117.67934722851,11,"lambda_ML",NA,0.995892717632616
