"response","predictor","term","estimate","std_error","t_value","p_value","lambda","logLik","AIC","n","model_fit_strategy","error","p_adj_fdr"
"PC1","woody_association_broad","woody_association_broadwoody",0.00765040453893791,0.0245841706974919,0.311192296582874,0.766182776441809,0.996336817578079,16.2690026691936,-28.5380053383872,8,"lambda_ML",NA,0.884057049740549
"PC2","woody_association_broad","woody_association_broadwoody",0.0306104602705433,0.0517628654470879,0.591359462157933,0.575865436029217,1,10.3136764150434,-16.6273528300868,8,"lambda_ML",NA,0.884057049740549
"abs_winding_angle_deg","woody_association_broad","woody_association_broadwoody",-60.0517723139418,38.0278607012318,-1.57915200083807,0.165380329626041,1,-42.4815342849033,88.9630685698066,8,"lambda_ML",NA,0.620176236097655
"axial_span","woody_association_broad","woody_association_broadwoody",-0.0310705972559823,0.0344446548915239,-0.902044086486931,0.401791708120343,0,13.9738428947612,-23.9476857895224,8,"lambda_ML",NA,0.802475971960741
"centroid_size","woody_association_broad","woody_association_broadwoody",-83.9431781215693,64.4837985819648,-1.30177160724907,0.240736812653827,1,-46.7062938052369,97.4125876104738,8,"lambda_ML",NA,0.722210437961482
"PC1","larval_lifestyle_broad","larval_lifestyle_broadother",0.025856333625467,0.0312972061010004,0.826154690678303,0.427987185045728,1,19.0859255863252,-34.1718511726504,12,"lambda_ML",NA,0.802475971960741
"PC2","larval_lifestyle_broad","larval_lifestyle_broadother",-0.0113828228032659,0.0547703065049277,-0.207828356816695,0.83953451008676,1,12.3704932256925,-20.740986451385,12,"lambda_ML",NA,0.899501260807243
"abs_winding_angle_deg","larval_lifestyle_broad","larval_lifestyle_broadother",-1.29081265351783,39.6202865422451,-0.0325795890481889,0.974650950258517,0,-65.9704038579179,135.940807715836,12,"lambda_ML",NA,0.974650950258517
"axial_span","larval_lifestyle_broad","larval_lifestyle_broadother",0.0107904927949556,0.028324976422017,0.380953284274164,0.711206017938353,0,20.9498270778927,-37.8996541557855,12,"lambda_ML",NA,0.884057049740549
"centroid_size","larval_lifestyle_broad","larval_lifestyle_broadother",-25.2972486124033,50.8222758627703,-0.497759066923934,0.629416988288806,1,-69.6248088985806,143.249617797161,12,"lambda_ML",NA,0.884057049740549
"PC1","fungal_association_broad","fungal_association_broadyes",0.0521932086285943,0.0326417727464378,1.59896979352294,0.148494690212004,1,17.3505484685495,-30.701096937099,10,"lambda_ML",NA,0.620176236097655
"PC2","fungal_association_broad","fungal_association_broadyes",-0.0146775432186245,0.0467097844934977,-0.314228450800661,0.761385680720013,1,13.7669402676944,-23.5338805353889,10,"lambda_ML",NA,0.884057049740549
"abs_winding_angle_deg","fungal_association_broad","fungal_association_broadyes",-79.6118439709287,43.0339051113018,-1.84997953973786,0.101479831487605,1,-54.4909588738002,112.9819177476,10,"lambda_ML",NA,0.620176236097655
"axial_span","fungal_association_broad","fungal_association_broadyes",-0.0724165144861682,0.0316038536167672,-2.29138241697678,0.0511543479157657,0,19.1210764376142,-34.2421528752284,10,"lambda_ML",NA,0.620176236097655
"centroid_size","fungal_association_broad","fungal_association_broadyes",-57.3325545762818,60.5520116705792,-0.946831541917844,0.371442255189571,1,-57.9061028416496,119.812205683299,10,"lambda_ML",NA,0.802475971960741
