"predictor","response","n","group_levels","group_n","f_statistic","p_value","p_adj_fdr"
"woody_association_broad","PC1",8,"nonwoody vs woody","4 vs 4",0.0117015168874193,0.919,0.984642857142857
"woody_association_broad","PC2",8,"nonwoody vs woody","4 vs 4",0.408136084134802,0.568,0.852
"woody_association_broad","abs_winding_angle_deg",8,"nonwoody vs woody","4 vs 4",1.19221861337567,0.296,0.852
"woody_association_broad","axial_span",8,"nonwoody vs woody","4 vs 4",0.813683533894382,0.409,0.852
"woody_association_broad","centroid_size",8,"nonwoody vs woody","4 vs 4",2.48658896173645,0.171,0.852
"larval_lifestyle_broad","PC1",12,"internal vs other","8 vs 4",0.0394378626242703,0.86,0.984642857142857
"larval_lifestyle_broad","PC2",12,"internal vs other","8 vs 4",0.454098304959711,0.537,0.852
"larval_lifestyle_broad","abs_winding_angle_deg",12,"internal vs other","8 vs 4",0.00106142961688491,0.986,0.986
"larval_lifestyle_broad","axial_span",12,"internal vs other","8 vs 4",0.145125404777234,0.707,0.964090909090909
"larval_lifestyle_broad","centroid_size",12,"internal vs other","8 vs 4",0.0147755829598108,0.901,0.984642857142857
"fungal_association_broad","PC1",10,"no vs yes","8 vs 2",0.344485869484438,0.505,0.852
"fungal_association_broad","PC2",10,"no vs yes","8 vs 2",0.44125966846564,0.466,0.852
"fungal_association_broad","abs_winding_angle_deg",10,"no vs yes","8 vs 2",1.27136453312316,0.231,0.852
"fungal_association_broad","axial_span",10,"no vs yes","8 vs 2",5.25043338085558,0.025,0.375
"fungal_association_broad","centroid_size",10,"no vs yes","8 vs 2",0.601381336908584,0.409,0.852
