"term";"estimate";"std_error";"statistic";"p_value";"response";"predictor";"n_taxa";"lambda";"predictor_type";"fdr_p_value"
"(Intercept)";"1,04584487756011e+02";"8,71369398185378e+01";"1,2002313596714260";"2,53208190661691e-01";"abs_winding_angle_deg";"start_end_dist";"14";"1,000000000000000";"continuous";"0,415714939892327773"
"start_end_dist";"5,68075776473978e+02";"2,41507934588092e+02";"2,3522033652553471";"3,65659521256205e-02";"abs_winding_angle_deg";"start_end_dist";"14";"1,000000000000000";"continuous";"0,149301701437985795"
"(Intercept)";"1,74338433452098e+02";"4,09167336201545e+01";"4,2608101387209265";"1,10592853718955e-03";"abs_winding_angle_deg";"axial_span";"14";"0,911078975377065";"continuous";"0,020275356518522181"
"axial_span";"9,16208534579096e+02";"2,29964296173849e+02";"3,9841338408744011";"1,81273977070484e-03";"abs_winding_angle_deg";"axial_span";"14";"0,911078975377065";"continuous";"0,022181975187751123"
"(Intercept)";"2,12220883981121e+02";"6,39518721129618e+01";"3,3184467783251606";"6,12778068337844e-03";"abs_winding_angle_deg";"axial_pitch_360";"14";"1,000000000000000";"continuous";"0,051850451936279129"
"axial_pitch_360";"5,42267128173367e+02";"3,43856458664833e+02";"1,5770159742787606";"1,40775499831007e-01";"abs_winding_angle_deg";"axial_pitch_360";"14";"1,000000000000000";"continuous";"0,309706099628214604"
"(Intercept)";"1,63913079346170e+01";"1,85348510796155e+02";"0,0884350668058191";"9,30989629168792e-01";"abs_winding_angle_deg";"fit_radius";"14";"1,000000000000000";"continuous";"0,954711370433152462"
"fit_radius";"1,16875885939931e+03";"7,70817751954125e+02";"1,5162583586539771";"1,55345752668653e-01";"abs_winding_angle_deg";"fit_radius";"14";"1,000000000000000";"continuous";"0,310691505337305496"
"(Intercept)";"2,90512465988919e-01";"2,42047055051494e-01";"1,2002313596714265";"2,53208190661691e-01";"n_turns_abs";"start_end_dist";"14";"1,000000000000000";"continuous";"0,415714939892327773"
"start_end_dist";"1,57798826798327e+00";"6,70855373855811e-01";"2,3522033652553480";"3,65659521256204e-02";"n_turns_abs";"start_end_dist";"14";"1,000000000000000";"continuous";"0,149301701437985795"
"(Intercept)";"4,84273426281726e-01";"1,13657593397909e-01";"4,2608101386267485";"1,10592853737394e-03";"n_turns_abs";"axial_span";"14";"0,911078975659899";"continuous";"0,020275356518522181"
"axial_span";"2,54502370683400e+00";"6,38789711598393e-01";"3,9841338403303133";"1,81273977248117e-03";"n_turns_abs";"axial_span";"14";"0,911078975659899";"continuous";"0,022181975187751123"
"(Intercept)";"5,89502455503114e-01";"1,77644089202672e-01";"3,3184467783251606";"6,12778068337844e-03";"n_turns_abs";"axial_pitch_360";"14";"1,000000000000000";"continuous";"0,051850451936279129"
"axial_pitch_360";"1,50629757825935e+00";"9,55156829624538e-01";"1,5770159742787608";"1,40775499831007e-01";"n_turns_abs";"axial_pitch_360";"14";"1,000000000000000";"continuous";"0,309706099628214604"
"(Intercept)";"4,55314109294919e-02";"5,14856974433764e-01";"0,0884350668058192";"9,30989629168791e-01";"n_turns_abs";"fit_radius";"14";"1,000000000000000";"continuous";"0,954711370433152462"
"fit_radius";"3,24655238722031e+00";"2,14116042209479e+00";"1,5162583586539768";"1,55345752668653e-01";"n_turns_abs";"fit_radius";"14";"1,000000000000000";"continuous";"0,310691505337305496"
