"term";"estimate";"std_error";"statistic";"p_value";"response";"predictor";"n_taxa";"lambda";"predictor_type";"fdr_p_value"
"(Intercept)";"1,81850622608783e+02";"4,16345258061151e+01";"4,3677841668146025";"1,40395125337422e-03";"abs_winding_angle_deg";"start_end_dist";"12";"1,000000000000000";"continuous";"1,24079437310475e-02"
"start_end_dist";"6,58442364402022e+02";"1,14892808071039e+02";"5,7309275963983941";"1,90066155451580e-04";"abs_winding_angle_deg";"start_end_dist";"12";"1,000000000000000";"continuous";"2,98675387138197e-03"
"(Intercept)";"2,81415123458908e+02";"6,72406778934828e+01";"4,1851916470072279";"1,87220114269765e-03";"abs_winding_angle_deg";"axial_span";"12";"0,890568607807672";"continuous";"1,37294750464495e-02"
"axial_span";"6,17358962363279e+02";"3,23421251048361e+02";"1,9088385823817280";"8,53684001452488e-02";"abs_winding_angle_deg";"axial_span";"12";"0,890568607807672";"continuous";"2,40782667076343e-01"
"(Intercept)";"4,60066452656813e+02";"6,20198470446112e+01";"7,4180520362438989";"2,26721658442833e-05";"abs_winding_angle_deg";"axial_pitch_360";"12";"0,000000000000000";"continuous";"4,98787648574233e-04"
"axial_pitch_360";"-3,09995507124729e+02";"3,61329392343986e+02";"-0,8579305024530439";"4,11021648411706e-01";"abs_winding_angle_deg";"axial_pitch_360";"12";"0,000000000000000";"continuous";"6,23203443885484e-01"
"(Intercept)";"9,59286312289394e+02";"2,21034135545408e+02";"4,3399916936916840";"1,46639335003288e-03";"abs_winding_angle_deg";"fit_radius";"12";"0,000000000000000";"continuous";"1,24079437310475e-02"
"fit_radius";"-2,21069956440191e+03";"8,86267152282388e+02";"-2,4943941098445692";"3,17503122924016e-02";"abs_winding_angle_deg";"fit_radius";"12";"0,000000000000000";"continuous";"1,24733369720149e-01"
"(Intercept)";"5,05140618357731e-01";"1,15651460572542e-01";"4,3677841668146042";"1,40395125337422e-03";"n_turns_abs";"start_end_dist";"12";"1,000000000000000";"continuous";"1,24079437310475e-02"
"start_end_dist";"1,82900656778340e+00";"3,19146689086219e-01";"5,7309275963984021";"1,90066155451578e-04";"n_turns_abs";"start_end_dist";"12";"1,000000000000000";"continuous";"2,98675387138197e-03"
"(Intercept)";"7,81708676281087e-01";"1,86779660810645e-01";"4,1851916471439221";"1,87220114229107e-03";"n_turns_abs";"axial_span";"12";"0,890568608092479";"continuous";"1,37294750464495e-02"
"axial_span";"1,71488600649217e+00";"8,98392363950135e-01";"1,9088385824563352";"8,53684001347350e-02";"n_turns_abs";"axial_span";"12";"0,890568608092479";"continuous";"2,40782667076343e-01"
"(Intercept)";"1,27796236849115e+00";"1,72277352901698e-01";"7,4180520362439015";"2,26721658442833e-05";"n_turns_abs";"axial_pitch_360";"12";"0,000000000000000";"continuous";"4,98787648574233e-04"
"axial_pitch_360";"-8,61098630902024e-01";"1,00369275651107e+00";"-0,8579305024530443";"4,11021648411706e-01";"n_turns_abs";"axial_pitch_360";"12";"0,000000000000000";"continuous";"6,23203443885484e-01"
"(Intercept)";"2,66468420080387e+00";"6,13983709848356e-01";"4,3399916936916849";"1,46639335003288e-03";"n_turns_abs";"fit_radius";"12";"0,000000000000000";"continuous";"1,24079437310475e-02"
"fit_radius";"-6,14083212333864e+00";"2,46185320078441e+00";"-2,4943941098445697";"3,17503122924016e-02";"n_turns_abs";"fit_radius";"12";"0,000000000000000";"continuous";"1,24733369720149e-01"
"(Intercept)";"1,70618307255668e-01";"8,10918963797443e-02";"2,1040118047884993";"6,16599980092507e-02";"start_end_dist";"axial_span";"12";"0,000000000000000";"continuous";"1,93788565171931e-01"
"axial_span";"8,78466975013736e-01";"4,27093791124552e-01";"2,0568479178793568";"6,67386511699963e-02";"start_end_dist";"axial_span";"12";"0,000000000000000";"continuous";"2,03923656352766e-01"
"(Intercept)";"3,05711606176318e-01";"7,39951029184169e-02";"4,1315113314103984";"2,03926523363226e-03";"start_end_dist";"axial_pitch_360";"12";"0,000000000000000";"continuous";"1,40199484812218e-02"
"axial_pitch_360";"1,67214877384381e-01";"4,31097573567225e-01";"0,3878817410191376";"7,06232126063439e-01";"start_end_dist";"axial_pitch_360";"12";"0,000000000000000";"continuous";"8,40591915743720e-01"
"(Intercept)";"5,95897082474176e-01";"3,15798837365720e-01";"1,8869514765948305";"8,85052218393537e-02";"start_end_dist";"fit_radius";"12";"0,000000000000000";"continuous";"2,41897474584748e-01"
"fit_radius";"-1,05575169515795e+00";"1,26623942313520e+00";"-0,8337694087457160";"4,23879125427629e-01";"start_end_dist";"fit_radius";"12";"0,000000000000000";"continuous";"6,23203443885484e-01"
"(Intercept)";"8,42867273351453e-02";"3,21267097771958e-02";"2,6235717233320197";"2,54412911637121e-02";"axial_span";"axial_pitch_360";"12";"0,000000000000000";"continuous";"1,21675740348188e-01"
"axial_pitch_360";"6,13504703967703e-01";"1,87171124647499e-01";"3,2777743101299466";"8,32019447696809e-03";"axial_span";"axial_pitch_360";"12";"0,000000000000000";"continuous";"4,57610696233245e-02"
"(Intercept)";"4,80328108647836e-02";"1,98001738621333e-01";"0,2425878237192843";"8,13227760701546e-01";"axial_span";"fit_radius";"12";"0,000000000000000";"continuous";"8,73044451147791e-01"
"fit_radius";"5,50580819153338e-01";"7,93915548844445e-01";"0,6935004862352373";"5,03784743704553e-01";"axial_span";"fit_radius";"12";"0,000000000000000";"continuous";"7,10465664198728e-01"
"(Intercept)";"-3,04946195016797e-01";"1,85558306242395e-01";"-1,6433982460394196";"1,31329372046203e-01";"axial_pitch_360";"fit_radius";"12";"0,000000000000000";"continuous";"3,07366615427283e-01"
"fit_radius";"1,88539432658824e+00";"7,44021873589774e-01";"2,5340576581324719";"2,96638343682787e-02";"axial_pitch_360";"fit_radius";"12";"0,000000000000000";"continuous";"1,24733369720149e-01"
"(Intercept)";"1,39778097984924e-01";"9,65388765475156e-02";"1,4478943922257763";"1,78262017911566e-01";"PC1";"abs_winding_angle_deg";"12";"1,000000000000000";"continuous";"3,44014420531091e-01"
