"response";"predictor";"n_trees";"estimate_min";"estimate_max";"estimate_median";"sign_consistent_positive";"sign_consistent_negative";"p_min";"p_max";"n_nominal_sig";"n_fdr_sig";"lambda_min";"lambda_max";"lambda_median"
"PC1";"abs_winding_angle_deg";"13";"-4,18401129030468e-04";"-3,64432414309252e-04";"-3,80638505009108e-04";FALSE;TRUE;"1,42177980469089e-02";"0,19768958279385304";"3";"0";"0,779059121332973";"1,000000000000000";"1,000000000000000"
"PC1";"axial_pitch_360";"13";"-6,52908470964201e-01";"-4,86648260280370e-02";"-2,09198926718440e-01";FALSE;TRUE;"9,74301590133032e-03";"0,89175083597306737";"4";"0";"0,961488338497275";"1,000000000000000";"1,000000000000000"
"PC1";"axial_span";"13";"-4,87197208863705e-01";"-3,88757185230530e-01";"-4,34297918722732e-01";FALSE;TRUE;"8,83521872979206e-03";"0,27245420127047448";"5";"5";"0,920268385161591";"1,000000000000000";"1,000000000000000"
"PC1";"centroid_size";"13";"-4,83579006833465e-04";"-2,45153459331677e-04";"-2,69598696884871e-04";FALSE;TRUE;"3,92613559743971e-02";"0,22466836370059745";"1";"0";"0,754438080512371";"1,000000000000000";"1,000000000000000"
"PC1";"fit_radius";"13";"-4,53007270769982e-01";"6,31074283586873e-02";"-2,77045483656723e-01";FALSE;FALSE;"7,51640418460663e-01";"0,95614219599079886";"0";"0";"0,710889299215426";"1,000000000000000";"1,000000000000000"
"PC1";"n_turns_abs";"13";"-1,50624406450969e-01";"-1,31195669151331e-01";"-1,37029861803279e-01";FALSE;TRUE;"1,42177980469089e-02";"0,19768958279385340";"3";"0";"0,779059121068460";"1,000000000000000";"1,000000000000000"
"PC1";"start_end_dist";"13";"-3,76665446104658e-01";"-2,99417445728161e-01";"-3,09930326606940e-01";FALSE;TRUE;"2,86569703182967e-02";"0,11784123357241282";"5";"0";"0,769258626787791";"1,000000000000000";"0,963175861928151"
"PC2";"abs_winding_angle_deg";"13";"-1,48503049111505e-04";"1,01445790645921e-04";"-4,70060187654118e-05";FALSE;FALSE;"7,30200577168941e-01";"0,99474874710497874";"0";"0";"0,992859889369628";"1,000000000000000";"1,000000000000000"
"PC2";"axial_pitch_360";"13";"-2,66056756010701e-01";"-1,58570249144871e-01";"-2,22378100987108e-01";FALSE;TRUE;"2,44782928304004e-01";"0,77967356719298264";"0";"0";"0,996059804010487";"1,000000000000000";"1,000000000000000"
"PC2";"axial_span";"13";"-2,20379520209936e-01";"-1,18484658880399e-01";"-1,58269445371875e-01";FALSE;TRUE;"3,75257848038119e-01";"0,78213714449006422";"0";"0";"0,995518927668950";"1,000000000000000";"1,000000000000000"
"PC2";"centroid_size";"13";"-6,12792032475498e-04";"-3,66097242068822e-04";"-4,74666364539918e-04";FALSE;TRUE;"6,65438995192016e-02";"0,24360601192854617";"0";"0";"0,978151680169275";"1,000000000000000";"1,000000000000000"
"PC2";"fit_radius";"13";"-2,08755568841183e-01";"1,79650634242056e+00";"1,17446395586870e+00";FALSE;FALSE;"3,64211880026688e-01";"0,96236477367572415";"0";"0";"0,992423744112497";"1,000000000000000";"1,000000000000000"
"PC2";"n_turns_abs";"13";"-5,34610976801419e-02";"3,65204846325316e-02";"-1,69221667555483e-02";FALSE;FALSE;"7,30200577168940e-01";"0,99474874710497829";"0";"0";"0,992859889369850";"1,000000000000000";"1,000000000000000"
"PC2";"start_end_dist";"13";"-2,54743777083557e-01";"-2,78288103805001e-02";"-1,06364538367236e-01";FALSE;TRUE;"4,84716717360510e-01";"0,81123511963065886";"0";"0";"0,992898519765122";"1,000000000000000";"1,000000000000000"
