"analysis_set","model","response","subset","term","m","estimate","std_error","df","statistic","p_value","ci_low","ci_high","within_variance","between_variance","point_estimate","point_std_error","point_p_value"
"all","angle_full","angle","full","PC1",200,-540.255759810963,68.7548529765541,92496660.6201873,-7.85771093125882,3.91221018315203e-15,-675.012797170718,-405.498722451207,4720.29602513229,6.89928626396591,-540.045640720848,68.6517641441502,7.46749874756898e-11
"all","angle_full","angle","full","PC2",200,-112.184573957889,103.698086417166,106088521.081819,-1.08183841991628,0.279324334029652,-315.429090920074,91.0599430042964,10738.5654640206,14.6543906083963,-111.858073068358,103.54764319154,0.284280346159109
"all","angle_main_region","angle","PC1_lt_0.1","PC1",200,-357.351559428017,167.729512188829,84589325.0425796,-2.13052285650072,0.0331284737318376,-686.095367166496,-28.6077516895375,28090.0385709379,42.9360081241365,-356.531709066055,167.441752155451,0.0378940062115216
"all","angle_main_region","angle","PC1_lt_0.1","PC2",200,-52.3851494691868,153.216955371153,44805927.3985346,-0.341901778052494,0.732424813101043,-352.684871929673,247.914572991299,23425.961933331,49.2273431591567,-52.3621936439304,152.910148041258,0.733375898523427
"all","axial_span_full","axial_span","full","PC1",200,-0.344211418021615,0.0497071752901296,221534.951105877,-6.92478331372747,4.37824663431033e-12,-0.441636223647603,-0.246786612395628,0.00239675011801089,7.36847336445524e-05,-0.340100712240831,0.0459829601887181,4.82147209657699e-10
"all","axial_span_full","axial_span","full","PC2",200,-0.056614212911676,0.0754425919518186,112824.591677576,-0.750427728514851,0.452998700885566,-0.204480562324545,0.0912521365011928,0.00545255168449688,0.000237843777026591,-0.0335571194596662,0.0693562243282555,0.630233893560354
"all","pitch_full","pitch","full","PC1",200,-0.153098683389863,0.0620941293846262,96157.9369276204,-2.4655903047055,0.0136805017717544,-0.274802472551696,-0.03139489422803,0.00368027869676129,0.000174529559476019,-0.152212509864777,0.0600145873609944,0.0137805369370218
"all","pitch_full","pitch","full","PC2",200,0.00287826546126328,0.0946007068057832,47914.23884329,0.0304254118013348,0.975727905269521,-0.182540396660982,0.188296927583508,0.00837254983598277,0.000573874519573114,0.00274653513154936,0.0905201658808832,0.975893601102058
"primary_adequate","angle_full","angle","full","PC1",200,-542.418572163955,68.4866581835956,95016637.222731,-7.92006190037579,2.37394904041327e-15,-676.649957335208,-408.187186992702,4683.63439874923,6.75417950987837,-542.238525868756,68.3711601025956,6.43105847624011e-11
"primary_adequate","angle_full","angle","full","PC2",200,-102.326724305007,103.572867957677,110361198.159539,-0.987968435390049,0.323168109323834,-305.325817503929,100.672368893916,10712.9340739492,14.3332368450254,-101.863155079191,103.403603003543,0.328529586879853
"primary_adequate","angle_main_region","angle","PC1_lt_0.1","PC1",200,-367.044851193252,166.562388696977,83494522.2367554,-2.20364785870722,0.0275491214626639,-693.501138950707,-40.588563435796,27700.1989977884,42.6172444321206,-366.348740201675,166.229113847457,0.0319841611628539
"primary_adequate","angle_main_region","angle","PC1_lt_0.1","PC2",200,-31.6427969925755,152.782889038677,45311799.5404929,-0.207109560446688,0.83592429674767,-331.091764961216,267.806170976065,23293.6929998117,48.6748091472998,-31.3550554064097,152.435043441659,0.837832696830937
"primary_adequate","axial_span_full","axial_span","full","PC1",200,-0.345062236985373,0.0498590774951538,231607.045127578,-6.9207505297087,4.50416902547702e-12,-0.442784743870255,-0.24733973010049,0.00241305922556758,7.25058538310112e-05,-0.340573084745888,0.0463198671060212,6.2533279442832e-10
"primary_adequate","axial_span_full","axial_span","full","PC2",200,-0.0527362780483323,0.0758758518763976,116712.480187752,-0.695033752428113,0.48703553318049,-0.201451757273335,0.0959792011766699,0.00551941979223314,0.000236542393767056,-0.0314040999762327,0.0700535304976644,0.655560634357251
