sep=;
specimen_id;signed_winding_angle_deg;abs_winding_angle_deg;n_turns_signed;n_turns_abs;start_end_dist;axial_span;fit_radius;fit_rms
15_mononychus_punctumalbum_trochanter_aligned;-480,546140;480,546140;-1,334850;1,334850;0,441211;0,130128;0,247285;0,002716
240_anthribus_nebulosus_trochanter_aligned;419,373211;419,373211;1,164926;1,164926;0,297333;0,195599;0,241858;0,010589
300_phaenomerus_foveipennis_trochanter_aligned;-469,036179;469,036179;-1,302878;1,302878;0,476755;0,247062;0,252648;0,003588
301_scobinoides_dentatus_trochanter_aligned;-478,310443;478,310443;-1,328640;1,328640;0,482368;0,281979;0,221217;0,011249
302_trochanter_aligned;-461,649762;461,649762;-1,282360;1,282360;0,387482;0,182323;0,221708;0,006982
303_perapion_curtirostre_trochanter_aligned;40,718120;40,718120;0,113106;0,113106;0,348906;0,201313;0,410023;0,001133
304_merynchites_trochanter_aligned;-234,688062;234,688062;-0,651911;0,651911;0,564796;0,301728;0,267618;0,001234
305_euplatypus_paralellus_trochanter_aligned;-311,195650;311,195650;-0,864432;0,864432;0,226095;0,106780;0,239930;0,003375
306_proterhinus_trochanter_aligned;-94,866261;94,866261;-0,263517;0,263517;0,346934;0,058936;0,232272;0,000596
307_trochanter_aligned;-340,947119;340,947119;-0,947075;0,947075;0,198990;0,177271;0,272071;0,005891
308_lisshorhoptrus_oryzophilus_trochanter_aligned;-503,755212;503,755212;-1,399320;1,399320;0,529511;0,173184;0,260211;0,004747
309_listronotus_trochanter_aligned;-486,686090;486,686090;-1,351906;1,351906;0,439511;0,134208;0,248533;0,006365
310_ormiscus_saltator_trochanter_mirrored_aligned;-15,519048;15,519048;-0,043108;0,043108;0,361109;0,016759;1,335851;0,000046
311_neochetina_trochanter_aligned;-471,973060;471,973060;-1,311036;1,311036;0,441345;0,220297;0,237982;0,003612
312_metapocyrtus_adspersus_trochanter_aligned;-466,580090;466,580090;-1,296056;1,296056;0,419022;0,193710;0,232030;0,004284
313_sitona_hispidulus_trochanter_aligned;-475,265887;475,265887;-1,320183;1,320183;0,464786;0,194523;0,244191;0,006306
315_trochanter_aligned;-456,620140;456,620140;-1,268389;1,268389;0,422050;0,121682;0,272740;0,012706
316_hypera_postica_trochanter_aligned;-483,198663;483,198663;-1,342219;1,342219;0,455326;0,170296;0,236717;0,007947
317_brentus_trochanter_mirrored_aligned;-482,803814;482,803814;-1,341122;1,341122;0,401853;0,131192;0,222540;0,005054
318_car_pini_trochanter_mirrored_aligned;-340,827121;340,827121;-0,946742;0,946742;0,250791;0,234019;0,271549;0,004246
a_fallax_trochanter_aligned;-437,428339;437,428339;-1,215079;1,215079;0,348916;0,184531;0,245044;0,005108
a_frumentarium_trochanter_aligned;-5,864730;5,864730;-0,016291;0,016291;0,230627;0,089453;2,077564;0,000136
a_haematodes_trochanter_aligned;-3,334913;3,334913;-0,009264;0,009264;0,278300;0,275627;0,658497;0,000916
a_validum_trochanter_aligned;23,640266;23,640266;0,065667;0,065667;0,332182;0,133506;0,742439;0,000361
adexius_scrobipennis_trochanter_aligned;-450,993870;450,993870;-1,252761;1,252761;0,422255;0,220828;0,255166;0,005955
archarius_pyrrhoceras_trochanter_aligned;-464,151238;464,151238;-1,289309;1,289309;0,397300;0,134936;0,241762;0,004310
b_porcatus_trochanter_aligned;-493,947952;493,947952;-1,372078;1,372078;0,604570;0,285095;0,280555;0,009828
barypeithes_araneiformis_trochanter_aligned;-369,788138;369,788138;-1,027189;1,027189;0,194463;0,189969;0,234955;0,005911
brachysomus_hirtus_trochanter_aligned;-422,390684;422,390684;-1,173307;1,173307;0,308856;0,173391;0,251639;0,004873
c_cinctus_trochanter_aligned;-467,988066;467,988066;-1,299967;1,299967;0,407248;0,129062;0,239760;0,003328
c_glandium_trochanter_aligned;-455,310017;455,310017;-1,264750;1,264750;0,374120;0,137884;0,239642;0,005125
c_tuberculosus_trochanter_aligned;-396,607408;396,607408;-1,101687;1,101687;0,199450;0,102098;0,269500;0,003174
cleopus_solani_trochanter_aligned;-385,690997;385,690997;-1,071364;1,071364;0,137694;0,089522;0,234528;0,004079
coenorhinus_pauxillus_trochanter_aligned;-202,855701;202,855701;-0,563488;0,563488;0,551985;0,124127;0,275572;0,000904
dorytomus_taeniatus_trochanter_aligned;-409,888308;409,888308;-1,138579;1,138579;0,245314;0,153089;0,223353;0,004574
dryophthorus_corticalis_trochanter_aligned;31,709408;31,709408;0,088082;0,088082;0,287903;0,196820;0,375427;0,034467
e_hypocrita_trochanter_aligned;-428,740658;428,740658;-1,190946;1,190946;0,330219;0,170569;0,255742;0,004708
e_micros_trochanter_aligned;-417,396368;417,396368;-1,159434;1,159434;0,324795;0,219438;0,256580;0,005826
hylesinus_crenatus_trochanter_aligned;-421,136852;421,136852;-1,169825;1,169825;0,258235;0,120422;0,224859;0,004239
hylurgops_palliatus_trochanter_aligned;-443,812290;443,812290;-1,232812;1,232812;0,329313;0,134063;0,224153;0,005243
larinus_turbinatus_trochanter_aligned;-443,044354;443,044354;-1,230679;1,230679;0,359075;0,141423;0,240488;0,004607
leiosoma_deflexum_trochanter_aligned;-469,051971;469,051971;-1,302922;1,302922;0,426832;0,147864;0,248465;0,005902
leperisinus_fraxini_trochanter_aligned;-411,278199;411,278199;-1,142439;1,142439;0,248847;0,139982;0,241108;0,006668
limnobaris_t_trochanter_aligned;-442,997586;442,997586;-1,230549;1,230549;0,378068;0,175143;0,252451;0,004506
n_marmoratus_trochanter_aligned;-216,684586;216,684586;-0,601902;0,601902;0,318155;0,093922;0,158605;0,002497
n_quadrimaculatus_trochanter_mirrored_aligned;-481,353861;481,353861;-1,337094;1,337094;0,423970;0,120531;0,235347;0,005308
orchestes_testaceus_trochanter_aligned;-386,610489;386,610489;-1,073918;1,073918;0,166384;0,123832;0,241996;0,004030
otiorynchus_singularis_trochanter_aligned;-484,058226;484,058226;-1,344606;1,344606;0,446207;0,164429;0,225472;0,006837
oxystoma_trochanter_aligned;-247,470550;247,470550;-0,687418;0,687418;0,260666;0,082964;0,148557;0,000959
p_pollinarius_trochanter_aligned;-485,847477;485,847477;-1,349576;1,349576;0,466567;0,153612;0,248076;0,003997
phyllobius_trochanter_aligned;-336,973400;336,973400;-0,936037;0,936037;0,160192;0,137218;0,219728;0,008287
polydrusus_marginatus_trochanter_aligned;-320,835457;320,835457;-0,891210;0,891210;0,152652;0,047373;0,222910;0,008427
protapion_trochanter_aligned;-273,135608;273,135608;-0,758710;0,758710;0,221502;0,008466;0,161165;0,001258
rhinusa_tetra_trochanter_mirrored_aligned;-340,867786;340,867786;-0,946855;0,946855;0,169259;0,153218;0,213537;0,004462
rynchites_cupreus_trochanter_aligned;-354,443564;354,443564;-0,984565;0,984565;0,193223;0,191255;0,268672;0,002793
s_capitatum_trochanter_aligned;-373,033750;373,033750;-1,036205;1,036205;0,139755;0,129198;0,237702;0,005099
s_melanogtammum_trochanter_aligned;-464,168838;464,168838;-1,289358;1,289358;0,406174;0,134236;0,237120;0,004816
scolytus_carpini_trochanter_aligned;-426,173325;426,173325;-1,183815;1,183815;0,284561;0,162520;0,218017;0,004208
sibinia_pellucens_trochanter_aligned;-477,847401;477,847401;-1,327354;1,327354;0,477848;0,243377;0,239780;0,006006
sitona_trochanter_aligned;-431,565136;431,565136;-1,198792;1,198792;0,336681;0,171308;0,247022;0,006238
t_plicicollis_trochanter_aligned;-412,128618;412,128618;-1,144802;1,144802;0,353823;0,288077;0,240357;0,004397
t_pseudonasutus_trochanter_aligned;-378,513216;378,513216;-1,051426;1,051426;0,302902;0,292998;0,243158;0,002582
xylocleptes_bispinus_trochanter_aligned;-356,143862;356,143862;-0,989289;0,989289;0,207508;0,206679;0,223337;0,005818
xylosandrus_germanus_trochanter_aligned;-455,506781;455,506781;-1,265297;1,265297;0,413459;0,225347;0,234071;0,005170
