method,cluster,n,mean_dist,median_dist,sd_dist
k-means,1,54,1.53171184202936,1.37242271469763,0.745394582444679
k-means,2,7,1.15219567397997,1.3090778268673,0.353502262793606
k-means,3,7,2.39868107509456,1.85179929353511,1.39202892097916
Hierarchical,1,54,1.53171184202936,1.37242271469763,0.745394582444679
Hierarchical,2,7,2.39868107509456,1.85179929353511,1.39202892097916
Hierarchical,3,7,1.15219567397997,1.3090778268673,0.353502262793606
Model-based,1,27,1.13599122274592,1.0580806607288,0.450075970442551
Model-based,2,9,2.85490991634738,2.67681822154143,1.32539104915256
Model-based,3,7,1.15219567397997,1.3090778268673,0.353502262793606
Model-based,4,4,0.500701783322242,0.522944784967981,0.173981273254797
Model-based,5,21,0.867878716293183,0.750489371675711,0.359559181441503
