"specimen_id","joint_type","joint_type_strict","screw_state","abs_winding_angle_deg","signed_winding_angle_deg","axial_span","endpoint_equivalent_axial_pitch_360","start_end_dist","fit_radius","radial_circle_fit_rms"
"15_mononychus_punctumalbum_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",480.54614,-480.54614,0.130128,0.097485082285751,0.441211,0.247285,0.002716
"300_phaenomerus_foveipennis_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",469.036179,-469.036179,0.247062,0.18962784531809,0.476755,0.252648,0.003588
"301_scobinoides_dentatus_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",478.310443,-478.310443,0.281979,0.212231285111205,0.482368,0.221217,0.011249
"302_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",461.649762,-461.649762,0.182323,0.142177653716629,0.387482,0.221708,0.006982
"303_perapion_curtirostre_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",40.71812,40.71812,0.201313,1.77986311745238,0.348906,0.410023,0.001133
"304_merynchites_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",234.688062,-234.688062,0.301728,0.462835983536308,0.564796,0.267618,0.001234
"305_euplatypus_paralellus_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",311.19565,-311.19565,0.10678,0.123526148260749,0.226095,0.23993,0.003375
"306_proterhinus_trochanter_aligned","Socket-guided rotational joint","Socket-guided rotational joint","clear",94.866261,-94.866261,0.058936,0.223651272605758,0.346934,0.232272,0.000596
"307_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",340.947119,-340.947119,0.177271,0.187177296547269,0.19899,0.272071,0.005891
"308_lisshorhoptrus_oryzophilus_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",503.755212,-503.755212,0.173184,0.123762967637544,0.529511,0.260211,0.004747
"309_listronotus_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",486.68609,-486.68609,0.134208,0.0992731885967811,0.439511,0.248533,0.006365
"311_neochetina_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",471.97306,-471.97306,0.220297,0.168032726274673,0.441345,0.237982,0.003612
"312_metapocyrtus_adspersus_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",466.58009,-466.58009,0.19371,0.149461156818758,0.419022,0.23203,0.004284
"313_sitona_hispidulus_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",475.265887,-475.265887,0.194523,0.147345479478943,0.464786,0.244191,0.006306
"315_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",456.62014,-456.62014,0.121682,0.0959342704419477,0.42205,0.27274,0.012706
"316_hypera_postica_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",483.198663,-483.198663,0.170296,0.126876510003919,0.455326,0.236717,0.007947
"317_brentus_trochanter_mirrored_aligned","True screw-nut joint","True screw-nut joint","clear",482.803814,-482.803814,0.131192,0.0978225909375273,0.401853,0.22254,0.005054
"318_car_pini_trochanter_mirrored_aligned","True screw-nut joint","True screw-nut joint","clear",340.827121,-340.827121,0.234019,0.247183498052668,0.250791,0.271549,0.004246
"a_fallax_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",437.428339,-437.428339,0.184531,0.151867526808774,0.348916,0.245044,0.005108
"adexius_scrobipennis_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",450.99387,-450.99387,0.220828,0.176273083268294,0.422255,0.255166,0.005955
"archarius_pyrrhoceras_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",464.151238,-464.151238,0.134936,0.104657611620978,0.3973,0.241762,0.00431
"b_porcatus_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",493.947952,-493.947952,0.285095,0.207783430591084,0.60457,0.280555,0.009828
"barypeithes_araneiformis_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",369.788138,-369.788138,0.189969,0.184940599690085,0.194463,0.234955,0.005911
"brachysomus_hirtus_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",422.390684,-422.390684,0.173391,0.147779679724186,0.308856,0.251639,0.004873
"c_cinctus_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",467.988066,-467.988066,0.129062,0.0992809932037882,0.407248,0.23976,0.003328
"c_glandium_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",455.310017,-455.310017,0.137884,0.109020751019409,0.37412,0.239642,0.005125
"c_tuberculosus_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",396.607408,-396.607408,0.102098,0.0926742144967701,0.19945,0.2695,0.003174
"cleopus_solani_trochanter_aligned","True screw-nut joint","True screw-nut joint","clear",385.690997,-385.690997,0.089522,0.0835589117990224,0.137694,0.234528,0.004079
"coenorhinus_pauxillus_trochanter_aligned","Unopposed screw configuration","Unopposed screw configuration","clear",202.855701,-202.855701,0.124127,0.220283284027596,0.551985,0.275572,0.000904
