principal_component,regression_coefficient,normalized_regression_loading,fitted_effect_percent,total_shape_variance_percent
PC2,-0.123905898631996,-0.742183275423741,55.0836014318712,13.8601977359185
PC1,-0.0961773969661579,-0.576092472514782,33.1882536888195,26.7793943286352
PC3,-0.0323706497174248,-0.193896780541722,3.75959615044446,9.04392657549525
PC6,0.0234028950917923,0.140180875369071,1.96506778192391,4.75713893568197
PC15,-0.018967688975564,-0.113614458121267,1.29082450941891,1.31499899664295
PC11,0.0171234444831023,0.102567627960561,1.0520118305456,2.09189918709614
PC8,0.015131986707217,0.0906390057456939,0.821542936256793,3.05913851962292
PC5,-0.0106745916056801,-0.0639396788141981,0.408828252686281,5.16382506101076
PC18,-0.00995965401158624,-0.0596572779667286,0.355899081439952,0.883633011564482
PC25,0.00859978755753553,0.0515118212116488,0.265346772454087,0.455380025457325
PC16,0.00752111916387493,0.0450507112052495,0.202956658009879,1.17430446472854
PC7,-0.00734275488534053,-0.0439823279731128,0.193444517393446,3.47969395505711
PC4,0.00697668808947007,0.0417896264424945,0.174637287820324,6.53160795587893
PC9,-0.00678184618449008,-0.0406225439643847,0.165019107813837,2.76414846719587
PC14,-0.0059718322613371,-0.0357706459251313,0.127953910990111,1.49767927594785
PC21,-0.00547061602635516,-0.0327684134964776,0.107376892307614,0.693957503963773
PC38,0.00513477561724377,0.0307567648372461,0.0945978583253656,0.186054628163271
PC17,-0.0049947199801482,-0.0299178463303082,0.0895077529043937,1.09682190266252
PC35,0.00451242472094207,0.027028948552632,0.0730564059860827,0.225213022254295
PC23,0.00444468051338823,0.0266231678883666,0.0708793068412153,0.584519694062715
PC32,0.00427442436693645,0.0256033515129581,0.0655531608696095,0.295920231405101
PC28,0.00376349743700929,0.0225429530449096,0.0508184731984999,0.35865917777754
PC52,-0.00370198831516363,-0.0221745198869738,0.0491709332217798,0.0727633039585665
PC12,-0.0036375686736338,-0.0217886530228447,0.047474540054992,1.92549700117523
PC29,-0.00329387981333756,-0.0197299929680969,0.0389272622521154,0.324063704601356
PC50,-0.00274143138744806,-0.016420885114829,0.0269645467954413,0.0872342287937278
PC37,-0.00249309705713893,-0.0149333886461064,0.022300609645566,0.193057730818662
PC19,-0.00249268653798618,-0.0149309296796426,0.0222932661098431,0.804404782328962
PC40,-0.00247658008012544,-0.0148344536943784,0.0220061016410657,0.161693290986503
PC54,0.00227135503438199,0.0136051772972858,0.0185100849290581,0.0595562763870147
PC53,-0.00203535461293338,-0.0121915596428727,0.0148634126525723,0.0701785398304147
PC61,0.00186316293561716,0.0111601496415553,0.0124548940021908,0.0369287196464109
PC10,0.00168511481338526,0.0100936601523536,0.0101881975271211,2.46681464178012
PC34,-0.00161561075426423,-0.00967733816265636,0.00936508739144053,0.231875104585457
PC59,0.00160139057995265,0.00959216081707248,0.00920095491405806,0.0437978885542876
PC26,0.00149559469026292,0.00895845458675407,0.00802539085829351,0.433992011360368
PC36,-0.00146985294650898,-0.00880426425437001,0.00775150690607776,0.203670644920551
PC24,0.00145737316495661,0.00872951167800864,0.00762043741364892,0.517900250083418
PC48,0.00131493472700468,0.00787632044504417,0.00620364237530208,0.0912414456595695
PC31,-0.00128486786191678,-0.00769622309165714,0.00592318498765565,0.304550733937944
PC58,0.00126689695810087,0.00758857927159952,0.00575865353613499,0.0475264375837017
PC44,0.00119873574453256,0.00718030078525213,0.00515567193666923,0.128905759674454
PC57,0.00116548127836724,0.00698111003732535,0.00487358973532448,0.0521706891404801
PC47,0.00109618860406708,0.00656605422042916,0.00431130680256156,0.0949906061651433
PC45,-0.00101819248795281,-0.00609886570424767,0.00371961628784484,0.110846215906826
PC55,0.000991076880964344,0.00593644607586842,0.00352413920116936,0.0577108419653986
PC46,0.000954377802210665,0.00571662246153562,0.00326797723677336,0.105924656771682
PC33,0.000906799935931374,0.00543163605634668,0.00295026702486053,0.253736332470734
PC62,-0.00087634963889439,-0.00524924198599127,0.00275545414274936,0.0319742727138212
PC22,-0.000840605963988072,-0.00503514114002233,0.00253526462999454,0.613341987140246
PC20,-0.000813928550914377,-0.00487534624701508,0.0023769001028284,0.7230267766352
PC42,-0.000779543149521057,-0.00466938131625217,0.00218031218765649,0.146214839578509
PC27,0.000702061554753172,0.00420527472871451,0.00176843355439649,0.378860866735293
PC30,0.000580814022384401,0.00347901478706502,0.00121035438886171,0.318600845403485
PC41,-0.000532644378197663,-0.00319048369457288,0.00101791862053354,0.155222895227776
PC51,0.000520875702289088,0.00311999056608052,0.000973434113243146,0.0777487002366844
PC65,0.000502028766360817,0.00300709940598741,0.000904264683748986,0.0228894661647242
PC39,-0.000497049500659052,-0.00297727412915603,0.000886416124014178,0.167178959889729
PC66,-0.000478950472179323,-0.00286886285586412,0.000823037408575681,0.0197379731403375
PC67,-0.000474296287982253,-0.00284098478298829,0.000807119453717104,0.0149187307575819
PC43,0.000424009973075083,0.00253977505593858,0.000645045733476783,0.142248284801372
PC63,-0.000388192523921425,-0.00232523231000251,0.00054067052954796,0.0295864411634209
PC56,-0.000320497651830007,-0.00191974715995796,0.000368542915816664,0.0538617637084654
PC60,0.000270835420842095,0.00162227562981774,0.000263177821910053,0.0423488570687279
PC64,0.000265360767899726,0.00158948303561975,0.000252645632052298,0.0278724696248758
PC13,-0.000176095133460238,-0.00105479129226824,0.00011125846702449,1.76508052993881
PC49,1.40249030532456e-05,8.40076913244735e-05,7.05729220166802e-07,0.090140844760911
