trait;model_type;n;estimate;std_error;t_value;p_value;r_squared;adj_r_squared;f_statistic;df_model;df_residual;response_transform;p_value_adjusted;significance_raw;significance_adjusted;p_adjust_method;trait_group
signed_winding_angle_deg;lm;64;-197,887372660461;56,5906255748423;-3,49682249754866;0,000876431668422642;0,164733063894031;0,151261016537483;12,2277675793624;1;62;none;0,0148993383631849;***;*;holm;geometry_continuous
n_turns_abs;lm;64;0,374809236208294;0,126902629877781;2,95351827278339;0,00443418605811831;0,123343705183853;0,109204087525528;8,72327018766537;1;62;none;0,0709469769298929;**;ns;holm;geometry_continuous
abs_winding_angle_deg;lm;64;134,93128754669;45,6849454695013;2,95351753537209;0,00443419532692575;0,123343651189736;0,109204032660539;8,72326583175043;1;62;none;0,0709469769298929;**;ns;holm;geometry_continuous
fit_rms;lm_log_response;64;0,595359652340621;0,348819227810675;1,70678564962525;0,0928662129987812;0,0448771739366382;0,0294719670646486;2,91311725376668;1;62;log;1;ns;ns;holm;geometry_continuous
axial_span;lm_log_response;64;0,28617273612155;0,201793638962441;1,41814547570954;0,161155184205061;0,0314185421069524;0,0157962605280323;2,01113659027545;1;62;log;1;ns;ns;holm;geometry_continuous
start_end_dist;lm;64;0,0490204334040842;0,0391272001429592;1,25284797340413;0,2149657787858;0,0246914775616585;0,00896069494168528;1,56962804446283;1;62;none;1;ns;ns;holm;geometry_continuous
start_end_dist;lm_log_response;64;0,157791035904006;0,127044551067287;1,24201340851238;0,218909356717749;0,0242765856654152;0,00853911124066387;1,54259730692454;1;62;log;1;ns;ns;holm;geometry_continuous
fit_radius;lm_log_response;64;-0,0933260152199709;0,142974144770159;-0,652747497598249;0,516332196529346;0,0068253412744866;-0,00919360483398934;0,426079295620774;1;62;log;1;ns;ns;holm;geometry_continuous
fit_radius;lm;64;-0,049321123852365;0,0967122785111535;-0,509977891242392;0,611877677324807;0,00417727475149311;-0,0118843821073538;0,260077449556036;1;62;none;1;ns;ns;holm;geometry_continuous
axial_span;lm;64;0,00719075381622686;0,0222238940309507;0,323559579892365;0,747360379971761;0,0016857148854397;-0,0144161284228597;0,104690801740123;1;62;none;1;ns;ns;holm;geometry_continuous
fit_rms;lm;64;0,00023707009420824;0,00158703591158189;0,149379161793471;0,881739306376503;0,00035977590145892;-0,0157634535194853;0,0223141339781203;1;62;none;1;ns;ns;holm;geometry_continuous
ratio_start_end_fit_radius;lm;64;0,291745384080604;0,181501662629821;1,60739785990627;0,113048376677898;0,0400058647099267;0,0245220883342804;2,58372788003125;1;62;none;1;ns;ns;holm;geometry_ratio
ratio_fit_rms_fit_radius;lm_log_response;64;0,688685667560436;0,455708169504328;1,51124275061717;0,135807037918647;0,0355276556404667;0,0199716500862808;2,28385465129295;1;62;log;1;ns;ns;holm;geometry_ratio
ratio_axial_span_fit_radius;lm_log_response;64;0,379498751341367;0,260752434297578;1,45539869019314;0,150603828331536;0,0330356409174524;0,0174394415774114;2,11818534741589;1;62;log;1;ns;ns;holm;geometry_ratio
ratio_start_end_fit_radius;lm_log_response;64;0,251117051123822;0,189836330539943;1,32280818118208;0,19075759916728;0,0274482570062704;0,0117619385708877;1,74982148420224;1;62;log;1;ns;ns;holm;geometry_ratio
ratio_axial_span_fit_radius;lm;64;0,0338079988740435;0,0922505329985858;0,366480255182501;0,715254451801523;0,0021615719598859;-0,0139325962343095;0,134307777438632;1;62;none;1;ns;ns;holm;geometry_ratio
ratio_fit_rms_fit_radius;lm;64;0,00175506921942096;0,00491796101984669;0,356869282277409;0,722401428547779;0,00204991316996763;-0,0140460559724522;0,127355684633193;1;62;none;1;ns;ns;holm;geometry_ratio
