trait,model_type,n,estimate,std_error,t_value,p_value,r_squared,adj_r_squared,f_statistic,df_model,df_residual,response_transform,p_value_adjusted,significance_raw,significance_adjusted,p_adjust_method,trait_group
PC1,lm,68,-0.0961773969661579,0.0383654160757798,-2.50687746422943,0.014650567475296,0.0869403579573005,0.0731061209566536,6.28443462066138,1,66,none,0.966937453369536,*,ns,holm,full_atlas_shape_PC
PC2,lm,68,-0.123905898631996,0.02453030459587,-5.05113575527541,3.70274000538217e-06,0.278798654937872,0.26787136183087,25.5139724182217,1,66,none,0.000248083580360605,***,***,holm,full_atlas_shape_PC
PC3,lm,68,-0.0323706497174248,0.0229901492966632,-1.40802259697039,0.16381737585637,0.0291623112965867,0.014452649346535,1.98252763357925,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC4,lm,68,0.00697668808947007,0.0198103587881625,0.352173737188391,0.725830027985511,0.00187566226722685,-0.0132474337590274,0.124026341165238,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC5,lm,68,-0.0106745916056801,0.0175819209596015,-0.60713454634493,0.545844749193466,0.00555401633803413,-0.00951334705078355,0.368612357365462,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC6,lm,68,0.0234028950917923,0.0166754437791715,1.40343461929473,0.165174783221198,0.0289780710505369,0.0142656175816056,1.96962873063495,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC7,lm,68,-0.00734275488534053,0.0144448148873296,-0.508331532291307,0.61291579012919,0.00389989711537726,-0.0111925286859049,0.25840094672163,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC8,lm,68,0.015131986707217,0.0134418661838809,1.12573555637408,0.264354415036547,0.0188394793524754,0.003973410857816,1.26728054288485,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC9,lm,68,-0.00678184618449008,0.0128723937622818,-0.526851983378723,0.600062740016094,0.00418803827258738,-0.0109000217535855,0.277573012390094,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC10,lm,68,0.00168511481338526,0.012184151730128,0.138303827029538,0.890421411336917,0.000289733432800218,-0.014857391818218,0.0191279485710163,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC11,lm,68,0.0171234444831023,0.0110220196350179,1.55356686434305,0.125070229611135,0.0352791120521072,0.0206621289013815,2.4135700019847,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC12,lm,68,-0.0036375686736338,0.0107568589860591,-0.338162718164111,0.736313911015241,0.00172963988901266,-0.0133956685975174,0.114354023956139,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
