"tree_label","centroid_size_mean","abs_winding_angle_deg","n_turns_abs","start_end_dist","axial_span","axial_pitch_360","fit_radius","n_specimens","log_centroid_size","analysis_set"
"Curculionidae___Dendroctonus",222.01237776627,419.701757276714,1.16583821465754,0.278798089690688,0.170106278309984,0.143192740662813,0.236551550721945,3,5.40273313602191,"main_dataset"
"Curculionidae___Ips",188.2590905499,411.688384407223,1.14357884557562,0.301842536221128,0.199135930658428,0.156236161891399,0.226149079261749,3,5.23781915528779,"main_dataset"
"Curculionidae___Nedyus",208.559734753387,461.613105989648,1.28225862774902,0.397957824099758,0.169397399985209,0.12964654199598,0.242049988146548,6,5.34022549782441,"main_dataset"
"Curculionidae___Curculio",217.928683868789,435.715393541582,1.21032053761551,0.34764093749545,0.194375653790963,0.161408626541876,0.250396494699439,13,5.38416787105115,"main_dataset"
"Curculionidae___Larinus",278.838051001576,422.680938889806,1.17411371913835,0.350619185446211,0.232701949991745,0.201372085935303,0.251276376853152,7,5.63063115092793,"main_dataset"
"Curculionidae___Diaprepes",233.803706583558,426.945901415434,1.1859608372651,0.340723718961349,0.196060675096595,0.170385318233056,0.247779530794857,12,5.45448190256311,"main_dataset"
"Curculionidae___Oxoplatypus",189.265732370854,306.768816519182,0.852135601442171,0.226095041558209,0.0610305637215155,0.0731148649014946,0.24662283128696,1,5.24315201895943,"main_dataset"
"Curculionidae___Sitophilus",236.642014895252,486.065230026285,1.35018119451746,0.485428140791568,0.229909149579667,0.171974747413341,0.250144644770238,2,5.46654851352754,"main_dataset"
"Brentidae___Nanophyes",159.270738007947,251.745717722994,0.699293660341649,0.269828508922185,0.0475721576143354,0.0630966517524311,0.167076083390777,2,5.07060550894384,"main_dataset"
"Brentidae___Arrhenodes",248.973452233583,244.774796572717,0.67992999047977,0.308755776023754,0.0896857316069159,0.122639353731282,0.159343024520644,6,5.51734627324484,"main_dataset"
"Caridae___Car",111.757409872142,329.981362797913,0.916614896660869,0.250790641592315,0.20422808916918,0.200873924370463,0.286666749572937,1,4.71633053887612,"main_dataset"
"Attelabidae___Synolabus",206.388256808391,286.840344313676,0.796778734204656,0.3772486570719,0.204844186575198,0.301866412203979,0.271867034031642,4,5.32975913668062,"main_dataset"
"Belidae___Agnesiotis",94.817756709851,112.62352303849,0.31284311955136,0.346934149869005,0.0194679345069739,0.0623732084013792,0.207414221710275,1,4.55195669878714,"main_dataset"
"Anthribidae___Euparius",104.311290292066,264.385286666035,0.734403574072321,0.329221311344848,0.0941722315147675,0.0987255322241617,0.234587955927487,2,4.64737960439439,"main_dataset"
