term,estimate,std_error,statistic,p_value,response,predictor,n_taxa,lambda,predictor_type,fdr_p_value
(Intercept),1.48414827702980e-01,7.26493202168855e-02,2.042893550275570,6.18842331519628e-02,PC1,centroid_size,15,1.000000000000000,continuous,1.79138569650419e-01
centroid_size,-5.09741951798180e-04,3.42179401252112e-04,-1.489692102835291,1.60162333687827e-01,PC1,centroid_size,15,1.000000000000000,continuous,2.93630945094349e-01
(Intercept),1.60670642316173e-01,6.49542681600268e-02,2.473596375842944,2.79449129384359e-02,PC2,centroid_size,15,1.000000000000000,continuous,1.20432219040144e-01
centroid_size,-3.88496012094892e-04,3.05935589230761e-04,-1.269862107483862,2.26393866638383e-01,PC2,centroid_size,15,1.000000000000000,continuous,3.83128082003418e-01
(Intercept),4.68788137614008e-02,6.92718980110032e-02,0.676736383835686,5.10435854116234e-01,PC3,centroid_size,15,0.000000000000000,continuous,6.23866043919841e-01
centroid_size,-2.88692192196022e-04,3.58587782269008e-04,-0.805080949410174,4.35250983214173e-01,PC3,centroid_size,15,0.000000000000000,continuous,5.81285565864352e-01
(Intercept),4.03211137327278e-02,5.94462926795128e-02,0.678278020634646,5.09489423524097e-01,PC4,centroid_size,15,0.771651296848686,continuous,6.23866043919841e-01
centroid_size,-2.65741858457318e-04,3.32564174988912e-04,-0.799069408080946,4.38606381515829e-01,PC4,centroid_size,15,0.771651296848686,continuous,5.81285565864352e-01
(Intercept),6.21955429012518e-02,3.48505057532635e-02,1.784638172587426,9.76617530842697e-02,PC5,centroid_size,15,0.000000000000000,continuous,2.28570060409993e-01
centroid_size,-2.77565127176383e-04,1.80404549721318e-04,-1.538570549385565,1.47887811802473e-01,PC5,centroid_size,15,0.000000000000000,continuous,2.89043497524652e-01
(Intercept),3.15407102013807e+02,7.23180025176521e+01,4.361391230860098,1.41806135245018e-03,abs_winding_angle_deg,centroid_size,12,0.000000000000000,continuous,1.34419390419681e-02
centroid_size,4.65312844858023e-01,3.48636887634448e-01,1.334663259574276,2.11577675629045e-01,abs_winding_angle_deg,centroid_size,12,0.000000000000000,continuous,3.63649129987420e-01
(Intercept),8.76130838927241e-01,2.00883340326812e-01,4.361391230860097,1.41806135245019e-03,n_turns_abs,centroid_size,12,0.000000000000000,continuous,1.34419390419681e-02
centroid_size,1.29253568016118e-03,9.68435798984578e-04,1.334663259574277,2.11577675629044e-01,n_turns_abs,centroid_size,12,0.000000000000000,continuous,3.63649129987420e-01
(Intercept),2.01995021665915e-01,8.04250311941473e-02,2.511593948633929,3.08282820530221e-02,start_end_dist,centroid_size,12,0.000000000000000,continuous,1.20432219040144e-01
centroid_size,6.51099920991390e-04,3.87719953362744e-04,1.679304651061462,1.24016067687596e-01,start_end_dist,centroid_size,12,0.000000000000000,continuous,2.84203488450740e-01
(Intercept),1.46886581763795e-01,5.51375822068045e-02,2.664001138331878,2.37357075339057e-02,axial_span,centroid_size,12,0.000000000000000,continuous,1.18678537669528e-01
centroid_size,1.89395311912468e-04,2.65812029965522e-04,0.712515953235953,4.92435187264187e-01,axial_span,centroid_size,12,0.000000000000000,continuous,6.22905402089661e-01
(Intercept),1.30226242672469e-01,6.72570906078695e-02,1.936245554119039,8.15866389036761e-02,axial_pitch_360,centroid_size,12,0.560753343694981,continuous,2.18890982424497e-01
centroid_size,2.42756014900966e-04,3.40885266140427e-04,0.712134078569894,4.92661545289096e-01,axial_pitch_360,centroid_size,12,0.560753343694981,continuous,6.22905402089661e-01
(Intercept),2.51589374903728e-01,2.02398958659921e-02,12.430369037938538,2.09597556018074e-07,fit_radius,centroid_size,12,1.000000000000000,continuous,2.30557311619881e-05
centroid_size,2.09971375329243e-05,9.70052011710051e-05,0.216453729072832,8.32985864930256e-01,fit_radius,centroid_size,12,1.000000000000000,continuous,9.07212328141863e-01
