"tree_tip","matched","n_specimens"
"Curculionidae___Dendroctonus",TRUE,3
"Curculionidae___Ips",TRUE,3
"Curculionidae___Nedyus",TRUE,6
"Curculionidae___Curculio",TRUE,13
"Curculionidae___Larinus",TRUE,7
"Curculionidae___Diaprepes",TRUE,12
"Curculionidae___Oxoplatypus",TRUE,1
"Curculionidae___Sitophilus",TRUE,3
"Brentidae___Nanophyes",TRUE,2
"Brentidae___Arrhenodes",TRUE,6
"Caridae___Car",TRUE,1
"Attelabidae___Synolabus",TRUE,4
"Belidae___Agnesiotis",TRUE,1
"Anthribidae___Euparius",TRUE,4
"Nemonychidae___Rhynchitomacerinus",TRUE,2
