principal_component,phylogenetic_gls_direction,tip_mean
PC1,-0.3344767442788,0.0267377440098309
PC2,-0.789581272472836,0.0266497567376734
PC3,-0.0220665536059248,-0.00637708522096679
PC4,-0.199480485839039,0.0182239813472313
PC5,-0.178617369978482,0.0109922863757116
PC6,0.307345526421917,-0.0155954928118581
PC7,-0.0312163917974972,0.0120249654572535
PC8,-0.000960424448544522,0.000689761489722563
PC9,-0.0361304697745114,-0.000672766090307541
PC10,0.116627041248827,0.006253716891617
PC11,0.0953077337390669,-0.0013846394681085
PC12,-0.09220524717927,0.0036143352598771
PC13,-0.12424545621656,0.000369648660156975
PC14,-0.0165126573703622,0.00106237292268218
PC15,-0.0247021523023889,0.00146334408366886
PC16,0.119541382164303,-0.00859156958290255
PC17,-0.0403132644983519,0.0015435365748597
PC18,-0.0795595954046462,0.00674288037260523
PC19,0.0108915177142843,-0.00113078000955354
PC20,-0.0271185958670493,0.00160540034934735
PC21,-0.044087449364999,0.000742101575721767
PC22,-0.0167396097524695,-0.000402032961828195
PC23,-0.000616771341447462,-0.0025229192050636
PC24,0.0685378773341204,-0.00152445238606254
PC25,0.0357965840972663,0.000240743793136012
PC26,-0.0344029488065392,0.00357314028120922
PC27,0.0279273495093318,0.00231400948241898
PC28,-0.0393206392448713,0.00112055050589298
PC29,0.0361364721123746,-0.00213730762795666
PC30,0.0484708305032931,-0.00273741245786855
PC31,0.00643530658612103,0.00149584062889763
PC32,0.00591999880682814,0.00144073654249659
PC33,0.00831936557797409,-0.00215970826055985
PC34,0.00864355340119526,0.00115879522317125
PC35,-0.0109148828878987,0.000405359875791395
PC36,-0.00106107908335277,-0.000900832583081925
PC37,-0.0237972331326621,-1.67826243384649e-05
PC38,-0.0407954607262413,-0.000275298191084337
PC39,-0.00873299690262785,0.000252478375275246
PC40,-0.0515027134593212,0.00107540150452093
PC41,-0.000296729312330641,0.000451914008602696
PC42,0.0374237689787096,-0.000403192077982121
PC43,-0.0184743943020785,0.000767890896937832
PC44,0.00959475805532739,-0.000297577156806458
PC45,-0.00493392121507805,0.000929160303382759
PC46,-0.0024583180882729,-0.000310543446233409
PC47,0.00226851632901824,6.01153257703819e-05
PC48,-0.00822097113152775,-5.44046828819057e-05
PC49,-0.00234150111330734,0.000317656047350353
PC50,-0.0304922864198757,0.000157026845067208
PC51,-0.00367666001717198,0.0001911408642352
PC52,-0.00198852788416655,0.00029711837757512
PC53,-0.0295983437479298,0.00015730845882442
PC54,0.00563455408979334,-0.000411898658593333
PC55,0.00597771878625147,0.000442447668629852
PC56,0.0205010385920843,-0.000606418312959245
PC57,0.00280572715392243,3.56904888644284e-06
PC58,0.00224464846322581,0.00015843122666241
PC59,-0.00628552772765107,0.000360344201532185
PC60,-0.00107796733058468,0.000206025417809823
PC61,0.00348897045389366,-1.14001627194775e-05
PC62,-0.00218648429893446,0.000272314763333855
PC63,-0.0103684276763959,-0.000227226533936682
PC64,-0.00317571030221732,0.000201932032123225
PC65,0.00316591495484035,7.95459445552715e-05
PC66,0.00478212738870026,-0.000114369468900365
PC67,-0.00350152037806733,8.94408026433766e-05
