tree_label,level,label,log_centroid_size,multivariate_allometry_score,n_specimens,Family
Curculionidae___Nedyus,specimen,15_mononychus_punctumalbum_trochanter_aligned,5.78710328690317,0.0455606279328886,1,Curculionidae
Anthribidae___Euparius,specimen,240_anthribus_nebulosus_trochanter_aligned,4.76788743938928,-0.0993370286035508,1,Anthribidae
Nemonychidae___Rhynchitomacerinus,specimen,291_basilogeus_dacrycarpi_trochanter_aligned,3.77200317270571,-0.0696975283742332,1,Nemonychidae
Curculionidae___Curculio,specimen,300_phaenomerus_foveipennis_trochanter_aligned,5.16402831271122,0.101563259558478,1,Curculionidae
Curculionidae___Nedyus,specimen,301_scobinoides_dentatus_trochanter_aligned,4.70261175892567,-0.0300754717571421,1,Curculionidae
Curculionidae___Curculio,specimen,302_trochanter_aligned,5.39586402608936,-0.02220319584197,1,Curculionidae
Brentidae___Arrhenodes,specimen,303_perapion_curtirostre_trochanter_aligned,4.68154586261638,-0.0824118845393995,1,Brentidae
Attelabidae___Synolabus,specimen,304_merynchites_trochanter_aligned,5.47551080760998,-0.0086492187419252,1,Attelabidae
Curculionidae___Oxoplatypus,specimen,305_euplatypus_paralellus_trochanter_aligned,5.24315201895943,-0.113468138923635,1,Curculionidae
Belidae___Agnesiotis,specimen,306_proterhinus_trochanter_aligned,4.55195669878714,-0.0612322283752131,1,Belidae
Attelabidae___Synolabus,specimen,307_trochanter_aligned,5.29376707533828,-0.063712633259354,1,Attelabidae
Curculionidae___Sitophilus,specimen,308_lisshorhoptrus_oryzophilus_trochanter_aligned,5.23482466941149,0.103647292615974,1,Curculionidae
Curculionidae___Curculio,specimen,309_listronotus_trochanter_aligned,5.68064698819644,0.076199976366081,1,Curculionidae
Anthribidae___Euparius,specimen,310_ormiscus_saltator_trochanter_aligned,4.51033395330444,-0.108919410443761,1,Anthribidae
Curculionidae___Sitophilus,specimen,311_neochetina_trochanter_aligned,5.65454963577572,0.109115049776832,1,Curculionidae
Curculionidae___Diaprepes,specimen,312_metapocyrtus_adspersus_trochanter_aligned,5.8517012452553,0.120654838143946,1,Curculionidae
Curculionidae___Diaprepes,specimen,313_sitona_hispidulus_trochanter_aligned,5.32971405762524,0.0842897465679618,1,Curculionidae
Anthribidae___Euparius,specimen,314_euparius_paganus_trochanter_aligned,4.55564555192019,-0.120046274012185,1,Anthribidae
Curculionidae___Larinus,specimen,315_trochanter_aligned,6.04110609927894,0.0688432423414321,1,Curculionidae
Curculionidae___Diaprepes,specimen,316_hypera_postica_trochanter_aligned,5.70275915729027,0.0911006603345534,1,Curculionidae
Brentidae___Arrhenodes,specimen,317_brentus_trochanter_mirrored_aligned,6.17951795660856,0.0946989168054222,1,Brentidae
Caridae___Car,specimen,318_car_pini_trochanter_mirrored_aligned,4.71633053887612,0.00299415742245746,1,Caridae
Curculionidae___Larinus,specimen,a_fallax_trochanter_aligned,5.21063898724379,0.151529764624495,1,Curculionidae
Brentidae___Arrhenodes,specimen,a_frumentarium_trochanter_aligned,5.56098707402488,-0.00701426132498158,1,Brentidae
Brentidae___Arrhenodes,specimen,a_haematodes_trochanter_aligned,5.49755208314315,0.0653902570095474,1,Brentidae
Brentidae___Arrhenodes,specimen,a_validum_trochanter_aligned,5.42467325283667,0.0621460731983343,1,Brentidae
Curculionidae___Larinus,specimen,adexius_scrobipennis_trochanter_aligned,5.27336915834339,0.163111341368827,1,Curculionidae
Curculionidae___Curculio,specimen,archarius_pyrrhoceras_trochanter_aligned,4.86028322145978,0.097402424008321,1,Curculionidae
Curculionidae___Diaprepes,specimen,b_porcatus_trochanter_aligned,5.27458266181596,0.0437520118241031,1,Curculionidae
Curculionidae___Diaprepes,specimen,barypeithes_araneiformis_trochanter_aligned,4.99447217854086,0.083130698292248,1,Curculionidae
Curculionidae___Diaprepes,specimen,brachysomus_hirtus_trochanter_aligned,4.93069623593052,0.0552299157748388,1,Curculionidae
Nemonychidae___Rhynchitomacerinus,specimen,c_attelaboides_trochanter_aligned,4.99179997220593,-0.136127479234529,1,Nemonychidae
Curculionidae___Nedyus,specimen,c_cinctus_trochanter_aligned,5.24320560090948,0.103873774318273,1,Curculionidae
Curculionidae___Curculio,specimen,c_glandium_trochanter_aligned,5.92678178456939,0.0641720766616386,1,Curculionidae
Curculionidae___Curculio,specimen,c_tuberculosus_trochanter_aligned,5.36925653011426,0.0423354437637609,1,Curculionidae
Curculionidae___Curculio,specimen,cleopus_solani_trochanter_aligned,5.04410077119795,0.0117439330939257,1,Curculionidae
Attelabidae___Synolabus,specimen,coenorhinus_pauxillus_trochanter_aligned,5.03344044173515,-0.0159100351639816,1,Attelabidae
Curculionidae___Larinus,specimen,dorytomus_taeniatus_trochanter_aligned,5.29950086886218,0.0656071526132855,1,Curculionidae
Curculionidae___Sitophilus,specimen,dryophthorus_corticalis_trochanter_aligned,5.12217511776674,0.0815207044453346,1,Curculionidae
Curculionidae___Curculio,specimen,e_hypocrita_trochanter_aligned,5.76790863775921,0.128816822149096,1,Curculionidae
Curculionidae___Curculio,specimen,e_micros_trochanter_aligned,5.1100186423,0.127970831022944,1,Curculionidae
Curculionidae___Dendroctonus,specimen,hylesinus_crenatus_trochanter_aligned,5.76705286443223,0.0182800004554408,1,Curculionidae
Curculionidae___Dendroctonus,specimen,hylurgops_palliatus_trochanter_aligned,5.29442642326747,0.0409538145602016,1,Curculionidae
Curculionidae___Larinus,specimen,larinus_turbinatus_trochanter_aligned,6.08216085555132,0.0564860366966858,1,Curculionidae
Curculionidae___Curculio,specimen,leiosoma_deflexum_trochanter_aligned,5.26252993535424,0.118661106950771,1,Curculionidae
Curculionidae___Dendroctonus,specimen,leperisinus_fraxini_trochanter_aligned,4.991923684145,0.0438313515927257,1,Curculionidae
Curculionidae___Curculio,specimen,limnobaris_t_trochanter_aligned,5.24360899927767,0.130241110043014,1,Curculionidae
Brentidae___Nanophyes,specimen,n_marmoratus_trochanter_aligned,5.10499232257574,-0.109833396762236,1,Brentidae
Curculionidae___Nedyus,specimen,n_quadrimaculatus_trochanter_mirrored_aligned,5.31898242820642,0.0218110229655285,1,Curculionidae
Curculionidae___Nedyus,specimen,orchestes_testaceus_trochanter_aligned,5.1829999984955,0.0175565424928513,1,Curculionidae
Curculionidae___Diaprepes,specimen,otiorynchus_singularis_trochanter_aligned,5.85639242621096,0.0236948284084587,1,Curculionidae
Brentidae___Arrhenodes,specimen,oxystoma_trochanter_aligned,5.14769466122519,0.0628692741077534,1,Brentidae
Curculionidae___Nedyus,specimen,p_pollinarius_trochanter_aligned,5.49465698964245,0.0398120160443532,1,Curculionidae
Curculionidae___Diaprepes,specimen,phyllobius_trochanter_aligned,5.38775492903607,0.0293785456987544,1,Curculionidae
Curculionidae___Diaprepes,specimen,polydrusus_marginatus_trochanter_aligned,5.35709453808755,0.0739984751951932,1,Curculionidae
Brentidae___Nanophyes,specimen,protapion_trochanter_aligned,5.03499400416534,-0.0640680629639162,1,Brentidae
Curculionidae___Curculio,specimen,rhinusa_tetra_trochanter_mirrored_aligned,5.28541350973094,0.0529998899770824,1,Curculionidae
Attelabidae___Synolabus,specimen,rynchites_cupreus_trochanter_aligned,5.45629730365151,-0.0171625053604112,1,Attelabidae
Curculionidae___Diaprepes,specimen,s_capitatum_trochanter_aligned,5.51052441557156,0.0721998095891234,1,Curculionidae
Curculionidae___Diaprepes,specimen,s_melanogtammum_trochanter_aligned,5.48414824575737,0.0821081156520197,1,Curculionidae
Curculionidae___Ips,specimen,scolytus_carpini_trochanter_aligned,5.59761818466306,-0.00868227994359506,1,Curculionidae
Curculionidae___Curculio,specimen,sibinia_pellucens_trochanter_aligned,5.32525419109507,0.0724779799171027,1,Curculionidae
Curculionidae___Diaprepes,specimen,sitona_trochanter_aligned,5.30807783134921,0.0562301707595369,1,Curculionidae
Curculionidae___Larinus,specimen,t_plicicollis_trochanter_aligned,5.4218515716888,0.193156585924827,1,Curculionidae
Curculionidae___Larinus,specimen,t_pseudonasutus_trochanter_aligned,5.66544451572322,0.171803563965812,1,Curculionidae
Anthribidae___Euparius,specimen,u_rufipes_trochanter_mirrored_aligned,4.48981087731946,0.082911554177117,1,Anthribidae
Curculionidae___Ips,specimen,xylocleptes_bispinus_trochanter_aligned,4.81922009182852,-0.00782584768619057,1,Curculionidae
Curculionidae___Ips,specimen,xylosandrus_germanus_trochanter_aligned,5.14239870400714,-0.038469413766089,1,Curculionidae
Anthribidae___Euparius,phylogenetic_tip,Anthribidae___Euparius,4.58724891649509,-0.0613477897205947,4,Anthribidae
Attelabidae___Synolabus,phylogenetic_tip,Attelabidae___Synolabus,5.32975913668062,-0.026358598131418,4,Attelabidae
Belidae___Agnesiotis,phylogenetic_tip,Belidae___Agnesiotis,4.55195669878714,-0.0612322283752131,1,Belidae
Brentidae___Arrhenodes,phylogenetic_tip,Brentidae___Arrhenodes,5.51734627324484,0.0326130625427793,6,Brentidae
Brentidae___Nanophyes,phylogenetic_tip,Brentidae___Nanophyes,5.07060550894384,-0.0869507298630761,2,Brentidae
