specimen,bbox_diag_units,bbox_diag_um,mean_3d_thickness_vox,median_3d_thickness_vox,p10_3d_thickness_vox,p25_3d_thickness_vox,p75_3d_thickness_vox,p90_3d_thickness_vox,max_3d_thickness_vox,mean_3d_thickness_um,median_3d_thickness_um,p10_3d_thickness_um,p25_3d_thickness_um,p75_3d_thickness_um,p90_3d_thickness_um,max_3d_thickness_um,voxel_size_um,analysis_scale,effective_analysis_voxel_size_um,foreground_voxels_retained,connected_components_6n,fraction_removed_outside_largest_component,touches_original_stack_boundary,original_stack_shape_zyx,analysis_crop_start_zyx,analysis_crop_stop_zyx,analysis_crop_shape_zyx,obj_file,tif_file,thickness_definition,analysis_domain,runtime_seconds
Acalles_fallax,418.07774396635847,510.0548476389573,25.36370086669922,25.78357696533203,8.882830619812012,15.795176029205322,34.31003761291504,40.79924697875976,47.32863998413086,30.943716049194336,31.45596389770508,10.837053356170655,19.27011475563049,41.85824588775635,49.77508131408691,57.740943908691406,1.22,0.75,1.6266666666666667,1009295,1,0.0,False,576x474x518,221x113x148,464x341x411,182x171x197,Acalles_fallax.obj,Acalles_fallax.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,9.64461350440979
Adexius_scrobipennis,464.98279538064634,567.2790103643886,22.865036010742188,25.014387130737305,9.54672794342041,15.466578483581543,30.014034748077393,32.98042678833008,39.28245162963867,27.895343780517578,30.51755229949951,11.647008090972902,18.86922574996948,36.617122392654416,40.23612068176269,47.924591064453125,1.22,0.75,1.6266666666666667,1166354,1,0.0,False,690x1031x749,275x193x256,521x503x513,184x232x193,Adexius_scrobipennis.obj,Adexius_scrobipennis.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,12.619866609573364
Anthribus_nebulosus,365.59677241463714,446.0280623458573,15.939428329467773,15.97322940826416,7.516973495483398,11.849372863769531,20.610361576080322,23.927003860473633,26.66666603088379,19.446102142333984,19.487339878082274,9.170707664489745,14.456234893798827,25.144641122817994,29.19094470977783,32.53333282470703,1.22,0.75,1.6266666666666667,444576,2,2.2493291376157742e-06,False,597x785x694,183x392x177,353x569x457,128x133x210,Anthribus_nebulosus.obj,Anthribus_nebulosus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,5.011192083358765
Apion_frumentarium,569.4049525601266,694.6740421233544,20.310287475585938,20.276748657226562,13.735141944885255,17.42146110534668,22.78173828125,26.926877975463867,36.172428131103516,24.77855110168457,24.737633361816407,16.75687317276001,21.254182548522948,27.793720703125,32.850791130065915,44.13036346435547,1.22,0.75,1.6266666666666667,1810569,5,6.075401252636503e-06,False,616x811x754,203x328x183,469x645x584,200x238x301,Apion_frumentarium.obj,Apion_frumentarium.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,19.178783893585205
Apion_haematodes,511.4762946608572,624.0010794862458,19.673477172851562,19.688724517822266,13.481183052062988,16.978652000427246,21.984002113342285,25.992908477783207,34.66666793823242,24.00164222717285,24.020243911743165,16.447043323516844,20.71395544052124,26.820482578277588,31.711348342895512,42.2933349609375,1.22,0.75,1.6266666666666667,1565402,5,2.555247648250436e-06,False,851x495x692,256x53x173,508x359x507,189x230x250,Apion_haematodes.obj,Apion_haematodes.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,15.40990686416626
Archarius_pyrrhoceras,346.74197899879385,423.0252143785285,12.565258979797363,13.284392356872559,7.313749027252197,10.17823314666748,15.158282041549683,16.430707931518555,21.33333396911621,15.32961654663086,16.20695867538452,8.92277381324768,12.417444438934325,18.49310409069061,20.045463676452638,26.026668548583984,1.22,0.75,1.6266666666666667,392462,2,5.09600880593819e-06,False,507x428x400,204x108x117,453x285x295,187x133x134,Archarius_pyrrhoceras.obj,Archarius_pyrrhoceras.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,3.462202310562134
Aspidapion_validum,552.2544703304809,673.7504538031867,21.50322151184082,22.821611404418945,13.577144050598145,18.66666603088379,24.91777229309082,26.536735153198244,35.7770881652832,26.233930587768555,27.842365913391113,16.564115741729736,22.773332557678224,30.3996821975708,32.374816886901854,43.648048400878906,1.22,0.75,1.6266666666666667,1873597,3,1.6011955593642213e-06,False,838x596x685,385x177x213,684x455x595,224x208x286,Aspidapion_validum.obj,Aspidapion_validum.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,18.606766939163208
Barypeithes_araneiformis,391.97066216746373,478.20420784430576,14.217955589294434,15.423699855804443,7.643626689910889,11.598620891571045,17.38023042678833,18.663454246520995,21.33333396911621,17.345905303955078,18.81691382408142,9.325224561691284,14.150317487716675,21.20388112068176,22.769414180755614,26.026668548583984,1.22,0.75,1.6266666666666667,578268,2,5.187879039358911e-06,False,440x534x505,134x199x102,329x397x388,146x148x214,Barypeithes_araneiformis.obj,Barypeithes_araneiformis.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,5.055016994476318
Basilogeus_dacrycarpi,146.41721210294915,178.62899876559797,6.4029669761657715,5.96284818649292,4.899248123168945,5.333333492279053,7.051894903182983,8.604399681091309,10.994948387145996,7.811619758605957,7.274674787521362,5.977082710266113,6.506666860580444,8.603311781883239,10.497367610931397,13.413837432861328,1.22,0.75,1.6266666666666667,35898,1,0.0,False,311x169x180,122x61x25,196x142x132,56x61x80,Basilogeus_dacrycarpi.obj,Basilogeus_dacrycarpi.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,0.2696220874786377
Brachysomus_hirtus,344.72887897592796,420.5692323506321,13.565733909606934,14.697802543640137,6.231679439544678,10.343389511108398,17.037070751190186,18.635662078857422,21.499353408813477,16.550195693969727,17.931319103240966,7.602648916244506,12.618935203552246,20.785226316452025,22.735507736206053,26.229211807250977,1.22,0.75,1.6266666666666667,395102,1,0.0,False,593x349x485,213x121x155,424x295x376,158x130x166,Brachysomus_hirtus.obj,Brachysomus_hirtus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,3.436253786087036
