Schraube,Windung_Coxa,Coxal_Socket,Coxal_wall_hole,combo,n_observed,is_missing
TRUE,TRUE,TRUE,FALSE,1110,40,FALSE
TRUE,TRUE,TRUE,TRUE,1111,18,FALSE
FALSE,FALSE,FALSE,FALSE,0000,2,FALSE
FALSE,FALSE,TRUE,FALSE,0010,2,FALSE
TRUE,FALSE,TRUE,TRUE,1011,2,FALSE
FALSE,FALSE,TRUE,TRUE,0011,1,FALSE
TRUE,FALSE,TRUE,FALSE,1010,1,FALSE
FALSE,FALSE,FALSE,TRUE,0001,0,TRUE
FALSE,TRUE,FALSE,FALSE,0100,0,TRUE
FALSE,TRUE,FALSE,TRUE,0101,0,TRUE
FALSE,TRUE,TRUE,FALSE,0110,0,TRUE
FALSE,TRUE,TRUE,TRUE,0111,0,TRUE
TRUE,FALSE,FALSE,FALSE,1000,0,TRUE
TRUE,FALSE,FALSE,TRUE,1001,0,TRUE
TRUE,TRUE,FALSE,FALSE,1100,0,TRUE
TRUE,TRUE,FALSE,TRUE,1101,0,TRUE
