tree_tip,display_label,n_specimens,True screw-nut joint,Unopposed screw configuration,Socket-guided rotational joint,Unguided rotational joint,Atypical coxal stop
Curculionidae___Nedyus,Nedyus + 5,6,6,0,0,0,0
Anthribidae___Euparius,Euparius + 3,4,0,0,0,2,2
Nemonychidae___Rhynchitomacerinus,Basilogeus + Cimberis,2,0,0,2,0,0
Curculionidae___Curculio,Curculio + 12,13,13,0,0,0,0
Brentidae___Arrhenodes,Perapion + 5,6,6,0,0,0,0
Attelabidae___Synolabus,Merhynchites + 3,4,2,2,0,0,0
Curculionidae___Oxoplatypus,Euplatypus parallelus,1,1,0,0,0,0
Belidae___Agnesiotis,Proterhinus,1,0,0,1,0,0
Curculionidae___Sitophilus,Lissorhoptrus + 2,3,3,0,0,0,0
Curculionidae___Diaprepes,Metapocyrtus + 11,12,12,0,0,0,0
Curculionidae___Larinus,Larinus + 6,7,7,0,0,0,0
Caridae___Car,Car pini,1,1,0,0,0,0
Curculionidae___Dendroctonus,Hylesinus + 2,3,3,0,0,0,0
Brentidae___Nanophyes,Nanophyes + Protapion,2,1,1,0,0,0
Curculionidae___Ips,Scolytus + 2,3,3,0,0,0,0
