quality_set,tree_label,PC1,PC2,abs_winding_angle_deg,axial_span,centroid_size,Family,tree_tip,n_specimens,representative_specimens,coding_confidence,ecology_notes,trophic_mode_simple,host_lineage_simple,substrate_simple,larval_lifestyle_simple,woody_association_simple,fungal_symbiosis_simple,aquatic_association_simple,host_lineage_broad,woody_association_broad,larval_lifestyle_broad,fungal_association_broad
main_dataset,Curculionidae___Dendroctonus,-0.0445675533991518,0.00869959195241613,419.701757276714,0.170106278309985,222.01237776627,Curculionidae,Dendroctonus,3,Hylesinus crenatus; Hylurgops palliatus; Leperisinus fraxini,high,This tip represents bark/wood-associated scolytine ecology.,xylophagous,mixed_woody_plants,wood_or_bark,internal,woody,sometimes_or_no,no,NA,woody,internal,NA
main_dataset,Curculionidae___Ips,-0.0185701756517761,-0.0198082851151856,411.688384407223,0.199135930658428,188.2590905499,Curculionidae,Ips,3,Scolytus carpini; Xylocleptes bispinus; Xylosandrus germanus,medium,"This tip includes bark and ambrosia-type lineages; wood association is robust, fungal association partly lineage-specific.",xylomycetophagous,angiosperm,wood_or_bark,internal,woody,yes_or_common,no,angiosperm,woody,internal,yes
main_dataset,Curculionidae___Nedyus,-0.0567168164023641,0.023456447120256,461.613105989648,0.169397399985209,208.559734753387,Curculionidae,Nedyus,6,Mononychus punctumalbum; Scobinoides dentatus; Coeliodes cinctus; Orchestes testaceus; Parethelcus pollinarius; Nedyus quadrimaculatus,low,This tip pools several small angiosperm-associated lineages with somewhat mixed feeding sites.,phytophagous,angiosperm,mixed_angiosperm_tissue,mixed,mostly_nonwoody,no,no,angiosperm,nonwoody,other,no
main_dataset,Curculionidae___Curculio,-0.0626916851644466,0.000247581829502192,435.715393541582,0.194375653790963,217.928683868789,Curculionidae,Curculio,13,Phaenomerus foveipennis; Magdalis; Listronotus; Curculio glandium; Cionus; Cleopus; Sibinia,low,This composite tip pools several ecologies; use with caution or collapse into broader categories only.,phytophagous,angiosperm,mixed_angiosperm_tissue,mixed,mixed,no,no,angiosperm,NA,other,no
main_dataset,Curculionidae___Larinus,-0.121410970616135,-0.0408821023951989,422.680938889806,0.232701949991745,278.838051001576,Curculionidae,Larinus,7,Zygops; Acalles fallax; Adexius; Dorytomus; Larinus; Trigonopterus,low,This cluster is heterogeneous but remains broadly angiosperm-associated and internal-feeding.,phytophagous,angiosperm,mixed_angiosperm_tissue,internal,mixed,no,no,angiosperm,NA,internal,no
main_dataset,Curculionidae___Diaprepes,-0.0616967034656656,-0.0595666505923478,426.945901415434,0.196060675096595,233.803706583558,Curculionidae,Diaprepes,12,Metapocyrtus; Sitona; Hypera; Otiorhynchus; Phyllobius; Polydrusus; Strophosoma,medium,This cluster mostly captures broad-nosed/root-feeding angiosperm-associated weevils.,phytophagous,angiosperm,root_soil,external_root_feeding,mostly_nonwoody,no,no,angiosperm,nonwoody,other,no
main_dataset,Curculionidae___Oxoplatypus,-0.0393689934749423,-0.0262890418285976,306.768816519182,0.0610305637215155,189.265732370854,Curculionidae,Oxoplatypus,1,Euplatypus parallelus,high,Platypodines are wood-boring ambrosia beetles; coding is robust.,xylomycetophagous,angiosperm,wood_or_bark,internal,woody,yes,no,angiosperm,woody,internal,yes
main_dataset,Curculionidae___Sitophilus,-0.0975800611468749,-0.00719563136849981,486.065230026285,0.229909149579667,213.66125655918,Curculionidae,Sitophilus,3,Lissorhoptrus oryzophilus; Dryophthorus corticalis; Neochetina; Sitophilus,low,This cluster is ecologically diverse; best used only with broad categories.,phytophagous,angiosperm,seed_or_vegetative_tissue,internal,mixed,no,mixed_or_some_taxa,angiosperm,NA,internal,no
main_dataset,Brentidae___Nanophyes,0.29491134540487,-0.122287184474699,251.745717722993,0.0475721576143354,159.270738007947,Brentidae,Nanophyes,2,Nanophyes marmoratus; Protapion,medium,Nanophyes/Protapion are best treated as angiosperm-associated reproductive-tissue specialists.,phytophagous,angiosperm,reproductive_tissue,internal,mostly_nonwoody,no,no,angiosperm,nonwoody,internal,no
main_dataset,Brentidae___Arrhenodes,0.267904544705844,-0.110473779862832,244.774796572717,0.0896857316069159,248.973452233583,Brentidae,Arrhenodes,6,Perapion curtirostre; Brentus; Apion spp.; Oxystoma; Aspidapion,medium,"Apionoid/brentid taxa here are mostly angiosperm-associated internal feeders in stems, fruits, or seeds.",phytophagous,angiosperm,reproductive_or_stem_tissue,internal,mostly_nonwoody,no,no,angiosperm,nonwoody,internal,no
