quality_set,pc_set,model,logLik,AIC,converged,delta_AIC,akaike_weight,best_model
main_dataset,PC1_5,BM,94.8532457120579,-149.706491424116,TRUE,3.04578157192208,0.179036230854262,OU
main_dataset,PC1_5,OU,111.3761364980189,-152.752272996038,TRUE,0.00000000000000,0.820963769145738,OU
main_dataset,PC1_5,EB,NA,NA,FALSE,NA,NA,OU
main_dataset,PC1_4,BM,69.3863630161286,-110.772726032257,TRUE,0.00000000000000,1.000000000000000,BM
main_dataset,PC1_4,OU,NA,NA,FALSE,NA,NA,BM
main_dataset,PC1_4,EB,NA,NA,FALSE,NA,NA,BM
high_confidence,PC1_5,BM,94.8532457120579,-149.706491424116,TRUE,3.04578157192208,0.179036230854262,OU
high_confidence,PC1_5,OU,111.3761364980189,-152.752272996038,TRUE,0.00000000000000,0.820963769145738,OU
high_confidence,PC1_5,EB,NA,NA,FALSE,NA,NA,OU
high_confidence,PC1_4,BM,69.3863630161286,-110.772726032257,TRUE,0.00000000000000,1.000000000000000,BM
high_confidence,PC1_4,OU,NA,NA,FALSE,NA,NA,BM
high_confidence,PC1_4,EB,NA,NA,FALSE,NA,NA,BM
