quality_set,term,estimate,std_error,statistic,p_value,response,predictor,n_taxa,lambda,predictor_type,analysis_set,fdr_family,fdr_p_value
main_dataset,(Intercept),6.77097362285288e+01,5.86677757226189e+01,1.15412141323817e+00,2.70918233713874e-01,abs_winding_angle_deg,start_end_dist,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,4.13902857062865e-01
main_dataset,start_end_dist,6.37436651288029e+02,1.24567011042107e+02,5.11721880420297e+00,2.54428553766260e-04,abs_winding_angle_deg,start_end_dist,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,4.66452348571477e-03
main_dataset,(Intercept),1.66619762505763e+02,4.04059787042228e+01,4.12364129886426e+00,1.41144338527678e-03,abs_winding_angle_deg,axial_span,14,0.850825839229913,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,1.29382310318186e-02
main_dataset,axial_span,9.16373592337256e+02,1.96797873735279e+02,4.65642018861397e+00,5.54289022407821e-04,abs_winding_angle_deg,axial_span,14,0.850825839229913,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,6.77464360720670e-03
main_dataset,(Intercept),1.82747926614198e+02,6.66198729460581e+01,2.74314432815217e+00,1.78272333185927e-02,abs_winding_angle_deg,axial_pitch_360,14,0.852273896126306,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,9.80497832522599e-02
main_dataset,axial_pitch_360,6.89534933476099e+02,3.34143061347641e+02,2.06359195577821e+00,6.13798479609815e-02,abs_winding_angle_deg,axial_pitch_360,14,0.852273896126306,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,1.77403778122431e-01
main_dataset,(Intercept),-8.19344667287390e+00,1.89621823117665e+02,-4.32094077472806e-02,9.66245274319161e-01,abs_winding_angle_deg,fit_radius,14,0.717007690977094,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,9.82544917969931e-01
main_dataset,fit_radius,1.25952335196397e+03,7.85434446840608e+02,1.60360085686384e+00,1.34781923890352e-01,abs_winding_angle_deg,fit_radius,14,0.717007690977094,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,2.73171064753420e-01
main_dataset,(Intercept),1.88082600634802e-01,1.62966043673941e-01,1.15412141323817e+00,2.70918233713875e-01,n_turns_abs,start_end_dist,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,4.13902857062865e-01
main_dataset,start_end_dist,1.77065736468897e+00,3.46019475116964e-01,5.11721880420297e+00,2.54428553766259e-04,n_turns_abs,start_end_dist,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,4.66452348571477e-03
