quality_set,term,numDF,F-value,p-value,response,predictor,analysis_set
main_dataset,(Intercept),1,1.331996236494871,2.70918233713874e-01,abs_winding_angle_deg,start_end_dist,main_pcm_matrix
main_dataset,start_end_dist,1,26.185928290088476,2.54428553766260e-04,abs_winding_angle_deg,start_end_dist,main_pcm_matrix
main_dataset,(Intercept),1,17.00441756169892,1.41144338527678e-03,abs_winding_angle_deg,axial_span,main_pcm_matrix
main_dataset,axial_span,1,21.682248972931756,5.54289022407821e-04,abs_winding_angle_deg,axial_span,main_pcm_matrix
main_dataset,(Intercept),1,7.52484080507342,1.78272333185927e-02,abs_winding_angle_deg,axial_pitch_360,main_pcm_matrix
main_dataset,axial_pitch_360,1,4.258411759952538,6.13798479609815e-02,abs_winding_angle_deg,axial_pitch_360,main_pcm_matrix
main_dataset,(Intercept),1,0.0018670529178707524,9.66245274319161e-01,abs_winding_angle_deg,fit_radius,main_pcm_matrix
main_dataset,fit_radius,1,2.571535708134442,1.34781923890352e-01,abs_winding_angle_deg,fit_radius,main_pcm_matrix
main_dataset,(Intercept),1,1.331996236494871,2.70918233713875e-01,n_turns_abs,start_end_dist,main_pcm_matrix
main_dataset,start_end_dist,1,26.185928290088476,2.54428553766259e-04,n_turns_abs,start_end_dist,main_pcm_matrix
main_dataset,(Intercept),1,17.004417561657934,1.41144338528930e-03,n_turns_abs,axial_span,main_pcm_matrix
main_dataset,axial_span,1,21.68224897299658,5.54289022401180e-04,n_turns_abs,axial_span,main_pcm_matrix
main_dataset,(Intercept),1,7.524840805168222,1.78272333180224e-02,n_turns_abs,axial_pitch_360,main_pcm_matrix
main_dataset,axial_pitch_360,1,4.258411759898884,6.13798479623933e-02,n_turns_abs,axial_pitch_360,main_pcm_matrix
main_dataset,(Intercept),1,0.001867052371977818,9.66245279250475e-01,n_turns_abs,fit_radius,main_pcm_matrix
main_dataset,fit_radius,1,2.5715358273991464,1.34781915664482e-01,n_turns_abs,fit_radius,main_pcm_matrix
main_dataset,(Intercept),1,47.11765172436795,1.73679720962413e-05,start_end_dist,axial_span,main_pcm_matrix
main_dataset,axial_span,1,2.7990428374444205,1.20167638238216e-01,start_end_dist,axial_span,main_pcm_matrix
main_dataset,(Intercept),1,39.405560362438194,4.08341131558012e-05,start_end_dist,axial_pitch_360,main_pcm_matrix
main_dataset,axial_pitch_360,1,1.6278320497120025,2.26146542588670e-01,start_end_dist,axial_pitch_360,main_pcm_matrix
main_dataset,(Intercept),1,4.023229408465944,6.79598228758807e-02,start_end_dist,fit_radius,main_pcm_matrix
main_dataset,fit_radius,1,0.3929197176818917,5.42510542183829e-01,start_end_dist,fit_radius,main_pcm_matrix
main_dataset,(Intercept),1,0.2975569809896383,5.95412428830715e-01,axial_span,axial_pitch_360,main_pcm_matrix
main_dataset,axial_pitch_360,1,38.50387820445679,4.55110034703145e-05,axial_span,axial_pitch_360,main_pcm_matrix
main_dataset,(Intercept),1,2.777001226011881,1.21494221787290e-01,axial_span,fit_radius,main_pcm_matrix
main_dataset,fit_radius,1,9.95023253879305,8.30679662249798e-03,axial_span,fit_radius,main_pcm_matrix
main_dataset,(Intercept),1,1.7948990045762443,2.05150099693235e-01,axial_pitch_360,fit_radius,main_pcm_matrix
main_dataset,fit_radius,1,8.464766787534998,1.30949969976269e-02,axial_pitch_360,fit_radius,main_pcm_matrix
main_dataset,(Intercept),1,5.034490139600537,4.44941539784776e-02,PC1,abs_winding_angle_deg,main_pcm_matrix
