analysis_set,response,predictor,term,lambda,lambda_strategy,m,estimate,std_error,df,statistic,p_value,ci_low,ci_high,within_variance,between_variance,point_estimate,point_std_error,point_p_value,point_n_taxa
all_fits,PC1,angle,angle,1,point_estimate_lambda_fixed_across_measurement_draws,200,-0.000608125762065238,0.0003183157819292,694293351.194029,-1.91044804118603,0.0560755507191364,-0.0012320132314448,1.57617073143247e-05,1.012706905683e-07,5.39765740273859e-11,-0.00060860004933778,0.000318483162154647,0.0801915925421409,14
all_fits,PC1,axial_span,axial_span,1,point_estimate_lambda_fixed_across_measurement_draws,200,-0.732726937955814,0.343253289087152,307364.036460798,-2.13465380012652,0.032790088037684,-1.40549367142044,-0.0599602044911873,0.114824835663009,0.00298306945884447,-0.729565369941302,0.34203270715343,0.0542613157766692,14
all_fits,PC1,pitch,pitch,1,point_estimate_lambda_fixed_across_measurement_draws,200,-0.55496006648577,0.398120911322147,109161.480900977,-1.39394854855216,0.163335979696411,-1.3352713661323,0.22535123316076,0.151732860642161,0.00673373073613545,-0.554862577834934,0.391319243272706,0.181653594981815,14
all_fits,PC2,angle,angle,1,point_estimate_lambda_fixed_across_measurement_draws,200,-2.17028455247976e-05,0.000370369813929078,1551610078.05559,-0.0585977709537457,0.953272486162807,-0.000747614342352854,0.000704208651303259,1.37124673634859e-07,4.88810298517675e-11,-2.08469266444948e-05,0.000370599601075844,0.956066916183295,14
all_fits,PC2,axial_span,axial_span,1,point_estimate_lambda_fixed_across_measurement_draws,200,-0.0324531102656131,0.409466359169319,1456823.80171522,-0.0792570855672989,0.936828150518183,-0.834993093887981,0.770086873356755,0.16570313517594,0.00194981504023684,0.0321799221754487,0.409211371322794,0.938615981801316,14
all_fits,PC2,pitch,pitch,1,point_estimate_lambda_fixed_across_measurement_draws,200,-0.0195227256204074,0.433624330133219,554266.90727588,-0.0450222099262963,0.964089622159783,-0.869412651424876,0.830367200184062,0.184467235862983,0.00354509832885521,-0.0167761318112617,0.430850245279304,0.969580696616419,14
main_dataset,PC1,angle,angle,1,point_estimate_lambda_fixed_across_measurement_draws,200,-0.000601726544838139,0.000282206505388646,1442390789.4865,-2.13222067297655,0.0329887099218527,-0.00115484113206693,-4.8611957609345e-05,7.96109302574067e-08,2.9434254990265e-11,-0.000601800025252995,0.0002821431452216,0.0542679059495753,14
main_dataset,PC1,axial_span,axial_span,1,point_estimate_lambda_fixed_across_measurement_draws,200,-0.750429171470396,0.32381032915118,353774.045154583,-2.31749608926167,0.0204772911340836,-1.38508792578227,-0.115770417158522,0.102366305833976,0.00247445117514397,-0.755042853383476,0.326630999980135,0.0393613576518326,14
main_dataset,PC1,pitch,pitch,1,point_estimate_lambda_fixed_across_measurement_draws,200,-0.588998435441664,0.406627874680109,101998.696185668,-1.44849498058888,0.147481742707843,-1.38598388232858,0.207987011445255,0.158042854801841,0.00726703847265875,-0.589183090398402,0.398901995309834,0.165429330242363,14
main_dataset,PC2,angle,angle,1,point_estimate_lambda_fixed_across_measurement_draws,200,-7.86283162203309e-05,0.000330004101531437,2297510908.39012,-0.238264663546434,0.811675826617406,-0.000725424470313188,0.000568167837872527,1.08870656408504e-07,3.18911632504581e-11,-7.79311482892253e-05,0.000329971444378369,0.817279569889653,14
main_dataset,PC2,axial_span,axial_span,1,point_estimate_lambda_fixed_across_measurement_draws,200,-0.0926493010978085,0.386941692589225,1712767.92988373,-0.239439954060894,0.810764480634852,-0.851041618624076,0.665743016428459,0.148110004272474,0.00160583999138304,-0.0357653406602427,0.391829065924888,0.92877776938681,14
main_dataset,PC2,pitch,pitch,1,point_estimate_lambda_fixed_across_measurement_draws,200,-0.057388066248444,0.435804635595624,546790.687296118,-0.131683010140566,0.89523507287445,-0.911551347069803,0.796775214572915,0.186302418946556,0.00360523528366005,-0.0548980783441431,0.432571815046839,0.901112687284031,14
