quality_set,trait,analysis_tip_set,n_tips,node,estimate,variance,CI95_lower,CI95_upper
main_dataset,PC1,shape_only,15,16,7.75635420625023e-02,3.27850813439056e-03,-0.03466264404873813,0.18978972817374279
main_dataset,PC1,shape_only,15,17,7.24606568200550e-02,2.63435009862665e-03,-0.02813814704402760,0.17305946068413752
main_dataset,PC1,shape_only,15,18,6.26017734374231e-02,2.23989802731507e-03,-0.03016024606265877,0.15536379293750494
main_dataset,PC1,shape_only,15,19,5.67196897366661e-02,1.99931519048441e-03,-0.03091916714636779,0.14435854661969999
main_dataset,PC1,shape_only,15,20,5.06278995351837e-02,1.86091832851523e-03,-0.03392329117685849,0.13517909024722585
main_dataset,PC1,shape_only,15,21,5.12334970115368e-02,1.80778121035146e-03,-0.03210180341803014,0.13456879744110373
main_dataset,PC1,shape_only,15,22,-1.71400171151980e-03,1.66951530080461e-03,-0.08179901890931394,0.07837101548627436
main_dataset,PC1,shape_only,15,23,-3.41198002452823e-02,1.32031225075275e-03,-0.10533855860634736,0.03709895811578284
main_dataset,PC1,shape_only,15,24,-4.48073188627779e-02,1.13781382223191e-03,-0.11092105101795202,0.02130641329239629
main_dataset,PC1,shape_only,15,25,-3.34600722878617e-02,4.74918059452263e-04,-0.07617359727927178,0.00925345270354838
main_dataset,PC1,shape_only,15,26,-7.37471871554633e-02,7.34779560966243e-04,-0.12687654967194678,-0.02061782463897984
main_dataset,PC1,shape_only,15,27,-6.43852295740913e-02,4.32962349486288e-04,-0.10516841436619069,-0.02360204478199197
main_dataset,PC1,shape_only,15,28,-6.33391022650230e-02,4.96322109441568e-04,-0.10700454644724477,-0.01967365808280119
main_dataset,PC1,shape_only,15,29,2.67868271640122e-01,5.02236723310042e-04,0.22394341994694236,0.31179312333330234
main_dataset,PC2,shape_only,15,16,1.06671865427755e-01,2.51630465106291e-03,0.00835281362433690,0.20499091723117388
main_dataset,PC2,shape_only,15,17,1.02234323261016e-01,2.02190360187547e-03,0.01410178172859042,0.19036686479344236
main_dataset,PC2,shape_only,15,18,8.51625824145712e-02,1.71915566257616e-03,0.00389568636610263,0.16642947846303968
main_dataset,PC2,shape_only,15,19,6.92265987073470e-02,1.53450469132108e-03,-0.00755200001768233,0.14600519743237630
main_dataset,PC2,shape_only,15,20,5.58397978808805e-02,1.42828300353190e-03,-0.01823376006234333,0.12991335582410427
main_dataset,PC2,shape_only,15,21,2.74519808249513e-02,1.38749946049993e-03,-0.04555636066735024,0.10046032231725285
main_dataset,PC2,shape_only,15,22,4.51927917801136e-03,1.28137828067834e-03,-0.06564155607253221,0.07468011442855492
main_dataset,PC2,shape_only,15,23,-1.18713868438217e-02,1.01335965056011e-03,-0.07426467521357921,0.05052190152593582
main_dataset,PC2,shape_only,15,24,-1.05276671014028e-02,8.73289342458210e-04,-0.06844854708425066,0.04739321288144497
main_dataset,PC2,shape_only,15,25,-6.26482094135889e-03,3.64506803975231e-04,-0.04368526105303114,0.03115561917031336
main_dataset,PC2,shape_only,15,26,-1.06821250565051e-02,5.63954442379024e-04,-0.05722766604426517,0.03586341593125507
main_dataset,PC2,shape_only,15,27,4.34063463108439e-03,3.32305161094252e-04,-0.03138867416239327,0.04006994342456205
main_dataset,PC2,shape_only,15,28,-1.51068276927299e-02,3.80934736538432e-04,-0.05336122461499283,0.02314756922953300
main_dataset,PC2,shape_only,15,29,-1.07919749050931e-01,3.85474292268174e-04,-0.14640140755439734,-0.06943809054746429
main_dataset,PC3,shape_only,15,16,1.24471288093030e-02,7.44376609160423e-03,-0.15665630645298489,0.18155056407159093
main_dataset,PC3,shape_only,15,17,8.59633435787166e-03,5.98122229189360e-03,-0.14298685585970641,0.16017952457544973
main_dataset,PC3,shape_only,15,18,-7.55969217157050e-04,5.08562928652867e-03,-0.14053062166576277,0.13901868323144870
main_dataset,PC3,shape_only,15,19,-9.22438982516713e-03,4.53939231238893e-03,-0.14127941436900376,0.12283063471866951
main_dataset,PC3,shape_only,15,20,-3.18537314431847e-03,4.22516589412748e-03,-0.13058787429276583,0.12421712800412890
main_dataset,PC3,shape_only,15,21,-4.81978096374836e-03,4.10451947137075e-03,-0.13039016760493810,0.12075060567744139
main_dataset,PC3,shape_only,15,22,-1.50255836930595e-02,3.79059037712405e-03,-0.13569841407653782,0.10564724669041890
main_dataset,PC3,shape_only,15,23,-1.10718606092994e-02,2.99773407892122e-03,-0.11838493174969562,0.09624121053109684
