"trait";"trait_label";"coxal_wall_opening";"n";"mean";"sd";"median";"min";"max"
"PC1";"PC1";"absent";6;0,0922210389628087;0,168341750888425;0,0663289791060827;-0,0975800611468749;0,29491134540487
"PC2";"PC2";"absent";6;0,0238984020304585;0,137641604896776;0,000751980291958162;-0,122287184474699;0,205849960175507
"abs_winding_angle_deg";"Absolute winding angle (deg)";"absent";5;279,391926233333;109,761417706171;251,841234;133,9720655;425,409113666667
"axial_span";"Axial span";"absent";5;0,1555206;0,0714959355919971;0,1523425;0,051194;0,234019
"centroid_size";"Centroid size";"absent";6;145,910486762579;53,8519879701183;143,746987819374;72,8173118719282;221,106802188611
"n_turns_abs";"Absolute number of turns";"absent";5;0,776088733333333;0,304892804293064;0,699559;0,372144666666667;1,181692
"PC1";"PC1";"present";3;0,0115125483426268;0,0492840955151799;0,014880177258265;-0,0393689934749423;0,0590264612445578
"PC2";"PC2";"present";3;0,028810013978786;0,050071732238009;0,0411855870200834;-0,0262890418285976;0,0715334967448723
"abs_winding_angle_deg";"Absolute winding angle (deg)";"present";3;229,765174166667;117,65949379217;283,2336115;94,866261;311,19565
"axial_span";"Axial span";"present";3;0,121437083333333;0,0709739325141339;0,10678;0,058936;0,19859525
"centroid_size";"Centroid size";"present";3;136,277366473963;57,4622480090987;168,20350445042;69,9411773551498;170,68741761632
"n_turns_abs";"Absolute number of turns";"present";3;0,63823625;0,326831962704748;0,78675975;0,263517;0,864432
