trait,node,estimate,variance,CI95_lower,CI95_upper,calibration_scheme
abs_winding_angle_deg,15,301.717867898804,1926.23778671821,215.695573803281,387.740161994327,archived_primary_223Ma_ceiling
abs_winding_angle_deg,16,296.244653336385,1603.88221533432,217.749596686757,374.739709986013,archived_primary_223Ma_ceiling
abs_winding_angle_deg,17,299.854047100974,1429.7290976878,225.743000004893,373.965094197054,archived_primary_223Ma_ceiling
abs_winding_angle_deg,18,304.125629299852,1328.81074559229,232.678030597955,375.573228001749,archived_primary_223Ma_ceiling
abs_winding_angle_deg,19,306.855671356738,1285.93639177647,236.570159032728,377.141183680747,archived_primary_223Ma_ceiling
abs_winding_angle_deg,20,330.148319959403,1317.45027030891,259.006792295045,401.289847623762,archived_primary_223Ma_ceiling
abs_winding_angle_deg,21,373.708678547125,1363.94664332414,301.32264795424,446.094709140009,archived_primary_223Ma_ceiling
abs_winding_angle_deg,22,406.66438406024,1064.27775553373,342.722774558615,470.605993561866,archived_primary_223Ma_ceiling
abs_winding_angle_deg,23,415.100842443398,783.913571332334,360.223867530141,469.977817356656,archived_primary_223Ma_ceiling
abs_winding_angle_deg,24,425.887512575006,839.907555997806,369.084441644632,482.690583505381,archived_primary_223Ma_ceiling
abs_winding_angle_deg,25,442.247427972549,543.267916586874,396.563535533746,487.931320411352,archived_primary_223Ma_ceiling
abs_winding_angle_deg,26,325.838942729916,1470.3839513885,250.681594535251,400.99629092458,archived_primary_223Ma_ceiling
abs_winding_angle_deg,27,227.45744956734,1573.91631958231,149.699125682964,305.215773451715,archived_primary_223Ma_ceiling
axial_span,15,0.157492266078981,0.000909998017215119,0.0983665662274475,0.216617965930514,archived_primary_223Ma_ceiling
axial_span,16,0.155719577091594,0.000757710001259742,0.101767573043186,0.209671581140001,archived_primary_223Ma_ceiling
axial_span,17,0.158165712783557,0.000675436154882671,0.107226969840712,0.209104455726402,archived_primary_223Ma_ceiling
axial_span,18,0.158900182632164,0.000627760057497003,0.109792107564203,0.208008257700125,archived_primary_223Ma_ceiling
axial_span,19,0.156301876342602,0.000607505249274054,0.107992538056809,0.204611214628396,archived_primary_223Ma_ceiling
axial_span,20,0.15809936649915,0.000622393113678449,0.109201663224793,0.206997069773508,archived_primary_223Ma_ceiling
axial_span,21,0.163175190378994,0.000644359045165879,0.113422102958119,0.212928277799869,archived_primary_223Ma_ceiling
axial_span,22,0.168125476442291,0.000502788728359388,0.124176492621668,0.212074460262915,archived_primary_223Ma_ceiling
axial_span,23,0.165876985446652,0.000370338387347192,0.128158396543659,0.203595574349645,archived_primary_223Ma_ceiling
axial_span,24,0.173435380503673,0.000396791204010272,0.134392928104703,0.212477832902643,archived_primary_223Ma_ceiling
axial_span,25,0.164926842876927,0.000256651972212071,0.133526934971809,0.196326750782045,archived_primary_223Ma_ceiling
axial_span,26,0.153996467177744,0.000694642421374223,0.102338570143977,0.20565436421151,archived_primary_223Ma_ceiling
axial_span,27,0.119425088241618,0.000743553438707379,0.0659794626943548,0.172870713788881,archived_primary_223Ma_ceiling
PC1,16,0.0709973141437437,0.00226522060521479,-0.0222875800084885,0.164282208295976,archived_primary_223Ma_ceiling
PC1,17,0.0675859597583574,0.00189653292162492,-0.0177704745141349,0.15294239403085,archived_primary_223Ma_ceiling
PC1,18,0.0610129141033671,0.00164346128336562,-0.0184447530293733,0.140470581236107,archived_primary_223Ma_ceiling
PC1,19,0.0574279659600933,0.00150718510679529,-0.0186640987133324,0.133520030633519,archived_primary_223Ma_ceiling
PC1,20,0.0538084264050504,0.00143319765661183,-0.0203924638702018,0.128009316680303,archived_primary_223Ma_ceiling
PC1,21,0.0532363403850582,0.0014120324117088,-0.0204146182836551,0.126887299053772,archived_primary_223Ma_ceiling
PC1,22,0.0190153347630605,0.00148275096309349,-0.0564574159475102,0.0944880854736312,archived_primary_223Ma_ceiling
PC1,23,-0.0163033333578628,0.00156011639624581,-0.0937200185608467,0.0611133518451211,archived_primary_223Ma_ceiling
PC1,24,-0.0422769348628693,0.00122392616716386,-0.110846860951328,0.0262929912255895,archived_primary_223Ma_ceiling
PC1,25,-0.0349586454596915,0.000902749789951895,-0.0938484034238673,0.0239311125044842,archived_primary_223Ma_ceiling
PC1,26,-0.0670511131006357,0.000967073974827104,-0.128002826626145,-0.00609939957512601,archived_primary_223Ma_ceiling
PC1,27,-0.0622263818072812,0.000625716225164098,-0.111254449794817,-0.0131983138197458,archived_primary_223Ma_ceiling
PC1,28,-0.0377297918976864,0.0016893614810482,-0.118289403773581,0.0428298199782082,archived_primary_223Ma_ceiling
PC1,29,0.207530790991122,0.00180565446949879,0.12424452435594,0.290817057626303,archived_primary_223Ma_ceiling
centroid_size,16,148.92234173118,713.829938958613,96.5558534633629,201.288829998997,archived_primary_223Ma_ceiling
centroid_size,17,151.265841456935,597.64685901228,103.350080233914,199.181602679956,archived_primary_223Ma_ceiling
centroid_size,18,156.117161835658,517.897402524503,111.512737598391,200.721586072926,archived_primary_223Ma_ceiling
centroid_size,19,162.621417607988,474.953234270531,119.906310856703,205.336524359273,archived_primary_223Ma_ceiling
centroid_size,20,167.238063604369,451.637864047172,125.584588136845,208.891539071893,archived_primary_223Ma_ceiling
centroid_size,21,174.430634258157,444.968144796695,133.085868869404,215.775399646909,archived_primary_223Ma_ceiling
centroid_size,22,186.933024066204,467.25339997315,144.565575932797,229.30047219961,archived_primary_223Ma_ceiling
centroid_size,23,204.97747053915,491.633260503066,161.518773670185,248.436167408115,archived_primary_223Ma_ceiling
centroid_size,24,216.443825034417,385.690973843842,177.951352457061,254.936297611773,archived_primary_223Ma_ceiling
centroid_size,25,208.715459509832,284.47994247128,175.657054421297,241.773864598367,archived_primary_223Ma_ceiling
centroid_size,26,230.479606170385,304.750166420915,196.263699937719,264.695512403051,archived_primary_223Ma_ceiling
centroid_size,27,219.161011239674,197.179459601441,191.638572902839,246.683449576509,archived_primary_223Ma_ceiling
centroid_size,28,196.357354653487,532.361748837845,151.134341769166,241.580367537808,archived_primary_223Ma_ceiling
centroid_size,29,194.508626206836,569.008694683159,147.754976065967,241.262276347706,archived_primary_223Ma_ceiling
abs_winding_angle_deg,15,300.635044184654,2182.92832515742,209.060279899264,392.209808470044,updated_195Ma_root_sensitivity
abs_winding_angle_deg,16,293.890450043675,1790.42734338778,210.95610443006,376.82479565729,updated_195Ma_root_sensitivity
abs_winding_angle_deg,17,299.152835798857,1538.03634440763,222.285935115427,376.019736482287,updated_195Ma_root_sensitivity
abs_winding_angle_deg,18,305.531374458329,1373.57639146857,232.890263058064,378.172485858594,updated_195Ma_root_sensitivity
abs_winding_angle_deg,19,308.916191067586,1291.12710498702,238.488967023768,379.343415111404,updated_195Ma_root_sensitivity
abs_winding_angle_deg,20,327.220985424801,1306.46313852489,256.376728120788,398.065242728814,updated_195Ma_root_sensitivity
abs_winding_angle_deg,21,375.79106068368,1345.6428497426,303.892371046308,447.689750321052,updated_195Ma_root_sensitivity
abs_winding_angle_deg,22,408.370309150024,1004.7123685879,346.243800837008,470.49681746304,updated_195Ma_root_sensitivity
abs_winding_angle_deg,23,415.500015121565,753.337595119528,361.703902758205,469.296127484924,updated_195Ma_root_sensitivity
abs_winding_angle_deg,24,425.906810064097,806.108609008484,370.258388412024,481.555231716171,updated_195Ma_root_sensitivity
abs_winding_angle_deg,25,442.451523536601,518.540088108456,397.819431915466,487.083615157737,updated_195Ma_root_sensitivity
abs_winding_angle_deg,26,324.753113811142,1428.13729317021,250.683334376864,398.822893245421,updated_195Ma_root_sensitivity
abs_winding_angle_deg,27,228.814537234669,1535.33025789854,152.015287767353,305.613786701985,updated_195Ma_root_sensitivity
axial_span,15,0.157232023533208,0.00104900250840762,0.0937509394506345,0.220713107615781,updated_195Ma_root_sensitivity
axial_span,16,0.155052693233394,0.000860386826580726,0.0975612848927337,0.212544101574054,updated_195Ma_root_sensitivity
