"response","predictor","term","estimate","std_error","t_value","p_value","lambda","logLik","AIC","n","model_fit_strategy","error","p_adj_fdr","calibration_scheme"
"PC1","host_lineage_broad","host_lineage_broadgymnosperm",0.000790009698920846,0.105775757817777,0.00746872171109205,0.994187774969044,1,10.93372546052,-17.8674509210399,12,"lambda_ML",,0.994187774969044,"archived_primary_223Ma_ceiling"
"PC2","host_lineage_broad","host_lineage_broadgymnosperm",0.224311379409122,0.0449481947942136,4.99044245127279,0.000544960346810619,1,21.2034545950138,-38.4069091900277,12,"lambda_ML",,0.00980928624259114,"archived_primary_223Ma_ceiling"
"centroid_size","host_lineage_broad","host_lineage_broadgymnosperm",-110.949117128177,24.8891188478972,-4.4577358405579,0.00122040940323864,0,-57.5714553669087,119.142910733817,12,"lambda_ML",,0.0109836846291478,"archived_primary_223Ma_ceiling"
"PC1","woody_association_broad","woody_association_broadwoody",-0.0445275788852303,0.0674631103539073,-0.660028549701332,0.527777073594261,1,9.04363482638621,-14.0872696527724,10,"lambda_ML",,0.994187774969044,"archived_primary_223Ma_ceiling"
"PC2","woody_association_broad","woody_association_broadwoody",0.0740055028831629,0.054194926214628,1.36554301393601,0.209238822718914,1,11.2335712606138,-18.4671425212277,10,"lambda_ML",,0.941574702235113,"archived_primary_223Ma_ceiling"
"abs_winding_angle_deg","woody_association_broad","woody_association_broadwoody",7.05454350605604,59.3608546622232,0.118841676828914,0.908739363986105,1,-51.99149841852,107.98299683704,9,"lambda_ML",,0.994187774969044,"archived_primary_223Ma_ceiling"
"axial_span","woody_association_broad","woody_association_broadwoody",0.022707249997394,0.0381544021894697,0.5951410242161,0.570479646429266,0,14.1622107222607,-24.3244214445215,9,"lambda_ML",,0.994187774969044,"archived_primary_223Ma_ceiling"
"centroid_size","woody_association_broad","woody_association_broadwoody",-48.7030796338728,28.2232042363796,-1.72563962709432,0.122691290243185,0.320888670055713,-51.2406260072099,106.48125201442,10,"lambda_ML",,0.73614774145911,"archived_primary_223Ma_ceiling"
"PC1","larval_lifestyle_broad","larval_lifestyle_broadother",-0.0106717566161609,0.0545331869959907,-0.195692883618657,0.848125139692937,1,13.8536009202616,-23.7072018405232,14,"lambda_ML",,0.994187774969044,"archived_primary_223Ma_ceiling"
"PC2","larval_lifestyle_broad","larval_lifestyle_broadother",-0.00273675278407208,0.0510313273223259,-0.0536288771559107,0.958113324762837,1,14.7827773738395,-25.5655547476789,14,"lambda_ML",,0.994187774969044,"archived_primary_223Ma_ceiling"
"abs_winding_angle_deg","larval_lifestyle_broad","larval_lifestyle_broadother",31.8218865410668,39.8973913154664,0.797593163158288,0.441984127647871,1,-72.4060034423891,148.812006884778,13,"lambda_ML",,0.994187774969044,"archived_primary_223Ma_ceiling"
"axial_span","larval_lifestyle_broad","larval_lifestyle_broadother",0.00839019543723091,0.0301492158934369,0.278289009799997,0.785952072838688,0,21.5397010610696,-39.0794021221393,13,"lambda_ML",,0.994187774969044,"archived_primary_223Ma_ceiling"
"centroid_size","larval_lifestyle_broad","larval_lifestyle_broadother",-2.02942991839691,29.5188937911538,-0.0687502022519927,0.94632078396884,1,-74.262068018428,152.524136036856,14,"lambda_ML",,0.994187774969044,"archived_primary_223Ma_ceiling"
"PC1","fungal_association_broad","fungal_association_broadyes",0.015168800127401,0.0695841016481133,0.217992325374977,0.831819106818068,1,10.9621368513693,-17.9242737027386,12,"lambda_ML",,0.994187774969044,"archived_primary_223Ma_ceiling"
"PC2","fungal_association_broad","fungal_association_broadyes",-0.0180082919968799,0.0550803048125796,-0.326946120907578,0.750449272183982,1,13.7670637570753,-23.5341275141507,12,"lambda_ML",,0.994187774969044,"archived_primary_223Ma_ceiling"
"abs_winding_angle_deg","fungal_association_broad","fungal_association_broadyes",-8.57399727660002,50.4926020651258,-0.169806999954988,0.868917553748494,1,-61.8222593661053,127.644518732211,11,"lambda_ML",,0.994187774969044,"archived_primary_223Ma_ceiling"
"axial_span","fungal_association_broad","fungal_association_broadyes",-0.016424186507866,0.0415111835656623,-0.395656907297916,0.701573288122614,0,17.7864607417412,-31.5729214834824,11,"lambda_ML",,0.994187774969044,"archived_primary_223Ma_ceiling"
"centroid_size","fungal_association_broad","fungal_association_broadyes",-28.2189313759756,34.6469546095545,-0.814470757790463,0.434342438205175,1,-63.5630110772057,131.126022154411,12,"lambda_ML",,0.994187774969044,"archived_primary_223Ma_ceiling"
"PC1","host_lineage_broad","host_lineage_broadgymnosperm",-0.002227713334785,0.108896251093274,-0.0204572086956131,0.98408107853365,1,10.7257875693975,-17.451575138795,12,"lambda_ML",,0.98408107853365,"updated_195Ma_root_sensitivity"
"PC2","host_lineage_broad","host_lineage_broadgymnosperm",0.224673835777821,0.0458561256056701,4.89953812735633,0.000623544327425618,1,21.1044293295875,-38.2088586591749,12,"lambda_ML",,0.010983684625107,"updated_195Ma_root_sensitivity"
"centroid_size","host_lineage_broad","host_lineage_broadgymnosperm",-110.949117126825,24.88911884627,-4.45773584079502,0.00122040940278967,0,-57.5714553667702,119.14291073354,12,"lambda_ML",,0.010983684625107,"updated_195Ma_root_sensitivity"
"PC1","woody_association_broad","woody_association_broadwoody",-0.0460635950744963,0.0673754948872384,-0.683684700967164,0.513485807717188,1,8.86875015435727,-13.7375003087145,10,"lambda_ML",,0.98408107853365,"updated_195Ma_root_sensitivity"
