predictor,response,n,group_levels,group_n,f_statistic,p_value,p_adj_fdr,calibration_scheme
host_lineage_broad,PC1,12,angiosperm vs gymnosperm,10 vs 2,0.197694176805673,0.733,0.814,archived_primary_223Ma_ceiling
host_lineage_broad,PC2,12,angiosperm vs gymnosperm,10 vs 2,30.7588605452601,0.001,0.018,archived_primary_223Ma_ceiling
host_lineage_broad,centroid_size,12,angiosperm vs gymnosperm,10 vs 2,19.8714088245871,0.011,0.099,archived_primary_223Ma_ceiling
woody_association_broad,PC1,10,nonwoody vs woody,5 vs 5,1.23809245264624,0.312,0.7695,archived_primary_223Ma_ceiling
woody_association_broad,PC2,10,nonwoody vs woody,5 vs 5,3.55286273075026,0.094,0.564,archived_primary_223Ma_ceiling
woody_association_broad,abs_winding_angle_deg,9,nonwoody vs woody,5 vs 4,0.727388446232284,0.445,0.814,archived_primary_223Ma_ceiling
woody_association_broad,axial_span,9,nonwoody vs woody,5 vs 4,0.354192838786745,0.631,0.814,archived_primary_223Ma_ceiling
woody_association_broad,centroid_size,10,nonwoody vs woody,5 vs 5,3.0090894146067,0.134,0.603,archived_primary_223Ma_ceiling
larval_lifestyle_broad,PC1,14,internal vs other,10 vs 4,1.06880339492593,0.342,0.7695,archived_primary_223Ma_ceiling
larval_lifestyle_broad,PC2,14,internal vs other,10 vs 4,0.196435759309556,0.695,0.814,archived_primary_223Ma_ceiling
larval_lifestyle_broad,abs_winding_angle_deg,13,internal vs other,9 vs 4,1.26230110631295,0.319,0.7695,archived_primary_223Ma_ceiling
larval_lifestyle_broad,axial_span,13,internal vs other,9 vs 4,0.0774447729593229,0.792,0.814,archived_primary_223Ma_ceiling
larval_lifestyle_broad,centroid_size,14,internal vs other,10 vs 4,1.20881937511436,0.34,0.7695,archived_primary_223Ma_ceiling
fungal_association_broad,PC1,12,no vs yes,10 vs 2,0.333110483006028,0.542,0.814,archived_primary_223Ma_ceiling
fungal_association_broad,PC2,12,no vs yes,10 vs 2,0.173147604222524,0.642,0.814,archived_primary_223Ma_ceiling
fungal_association_broad,abs_winding_angle_deg,11,no vs yes,9 vs 2,0.0484460774005578,0.793,0.814,archived_primary_223Ma_ceiling
fungal_association_broad,axial_span,11,no vs yes,9 vs 2,0.156544388292592,0.658,0.814,archived_primary_223Ma_ceiling
fungal_association_broad,centroid_size,12,no vs yes,10 vs 2,0.0409687934011303,0.814,0.814,archived_primary_223Ma_ceiling
host_lineage_broad,PC1,12,angiosperm vs gymnosperm,10 vs 2,0.197694176805673,0.745,0.818,updated_195Ma_root_sensitivity
host_lineage_broad,PC2,12,angiosperm vs gymnosperm,10 vs 2,30.7588605452601,0.002,0.036,updated_195Ma_root_sensitivity
host_lineage_broad,centroid_size,12,angiosperm vs gymnosperm,10 vs 2,19.8714088245871,0.012,0.108,updated_195Ma_root_sensitivity
woody_association_broad,PC1,10,nonwoody vs woody,5 vs 5,1.23809245264624,0.311,0.76725,updated_195Ma_root_sensitivity
woody_association_broad,PC2,10,nonwoody vs woody,5 vs 5,3.55286273075026,0.094,0.564,updated_195Ma_root_sensitivity
woody_association_broad,abs_winding_angle_deg,9,nonwoody vs woody,5 vs 4,0.727388446232284,0.439,0.818,updated_195Ma_root_sensitivity
woody_association_broad,axial_span,9,nonwoody vs woody,5 vs 4,0.354192838786745,0.619,0.818,updated_195Ma_root_sensitivity
woody_association_broad,centroid_size,10,nonwoody vs woody,5 vs 5,3.0090894146067,0.132,0.594,updated_195Ma_root_sensitivity
larval_lifestyle_broad,PC1,14,internal vs other,10 vs 4,1.06880339492593,0.341,0.76725,updated_195Ma_root_sensitivity
larval_lifestyle_broad,PC2,14,internal vs other,10 vs 4,0.196435759309556,0.698,0.818,updated_195Ma_root_sensitivity
larval_lifestyle_broad,abs_winding_angle_deg,13,internal vs other,9 vs 4,1.26230110631295,0.318,0.76725,updated_195Ma_root_sensitivity
larval_lifestyle_broad,axial_span,13,internal vs other,9 vs 4,0.0774447729593229,0.786,0.818,updated_195Ma_root_sensitivity
larval_lifestyle_broad,centroid_size,14,internal vs other,10 vs 4,1.20881937511436,0.337,0.76725,updated_195Ma_root_sensitivity
fungal_association_broad,PC1,12,no vs yes,10 vs 2,0.333110483006028,0.536,0.818,updated_195Ma_root_sensitivity
fungal_association_broad,PC2,12,no vs yes,10 vs 2,0.173147604222524,0.639,0.818,updated_195Ma_root_sensitivity
fungal_association_broad,abs_winding_angle_deg,11,no vs yes,9 vs 2,0.0484460774005578,0.789,0.818,updated_195Ma_root_sensitivity
fungal_association_broad,axial_span,11,no vs yes,9 vs 2,0.156544388292592,0.66,0.818,updated_195Ma_root_sensitivity
fungal_association_broad,centroid_size,12,no vs yes,10 vs 2,0.0409687934011303,0.818,0.818,updated_195Ma_root_sensitivity
