trait,model,logLik,AIC,AICc,converged,delta_AICc,akaike_weight,best_model,calibration_scheme
PC1,BM,15.0240254372319,-26.0480508744637,-25.0480508744637,TRUE,0.297544330165341,0.422985204395583,EB,archived_primary_223Ma_ceiling
PC1,OU,15.0240254372319,-24.0480508744637,-21.8662326926455,TRUE,3.47936251198352,0.0861791362695477,EB,archived_primary_223Ma_ceiling
PC1,EB,16.7637066932236,-27.5274133864472,-25.345595204629,TRUE,0,0.49083565933487,EB,archived_primary_223Ma_ceiling
PC2,BM,16.1592426460615,-28.318485292123,-27.318485292123,TRUE,2.34020668503295,0.2259342754939,EB,archived_primary_223Ma_ceiling
PC2,OU,16.1592426460615,-26.318485292123,-24.1366671103048,TRUE,5.52202486685113,0.0460319191154046,EB,archived_primary_223Ma_ceiling
PC2,EB,18.9202550794871,-31.8405101589742,-29.658691977156,TRUE,0,0.728033805390696,EB,archived_primary_223Ma_ceiling
PC3,BM,16.0248268349741,-28.0496536699482,-27.0496536699482,TRUE,0,0.501907648262391,BM,archived_primary_223Ma_ceiling
PC3,OU,17.378346647209,-28.7566932944179,-26.5748751125997,TRUE,0.474778557348436,0.39584663721753,BM,archived_primary_223Ma_ceiling
PC3,EB,16.0246986729809,-26.0493973459618,-23.8675791641436,TRUE,3.18207450580459,0.102245714520079,BM,archived_primary_223Ma_ceiling
PC4,BM,20.6459973986825,-37.2919947973649,-36.2919947973649,TRUE,0,0.659967400163535,BM,archived_primary_223Ma_ceiling
PC4,OU,21.0705541251983,-36.1411082503967,-33.9592900685785,TRUE,2.33270472878645,0.20558058038008,BM,archived_primary_223Ma_ceiling
PC4,EB,20.645923452214,-35.291846904428,-33.1100287226098,TRUE,3.18196607475513,0.134452019456386,BM,archived_primary_223Ma_ceiling
PC5,BM,26.3067867106813,-48.6135734213626,-47.6135734213626,TRUE,0,0.576485289020386,BM,archived_primary_223Ma_ceiling
PC5,OU,27.2645854411569,-48.5291708823138,-46.3473527004956,TRUE,1.26622072086694,0.30607784383125,BM,archived_primary_223Ma_ceiling
PC5,EB,26.3066468682726,-46.6132937365452,-44.431475554727,TRUE,3.18209786663559,0.117436867148364,BM,archived_primary_223Ma_ceiling
abs_winding_angle_deg,BM,-81.3550256796117,166.710051359223,167.800960450133,TRUE,0.805991365241027,0.372095879979179,EB,archived_primary_223Ma_ceiling
abs_winding_angle_deg,OU,-81.3550256796117,168.710051359223,171.110051359223,TRUE,4.11508227433191,0.0711368942289389,EB,archived_primary_223Ma_ceiling
abs_winding_angle_deg,EB,-79.2974845424457,164.594969084891,166.994969084891,TRUE,0,0.556767225791882,EB,archived_primary_223Ma_ceiling
n_turns_abs,BM,1.05042586298731,1.89914827402537,2.99005736493446,TRUE,0.805999956845061,0.372094990014695,EB,archived_primary_223Ma_ceiling
n_turns_abs,OU,1.05042586298733,3.89914827402535,6.29914827402535,TRUE,4.11509086593595,0.0711367240864762,EB,archived_primary_223Ma_ceiling
n_turns_abs,EB,3.1079712959553,-0.215942591910598,2.1840574080894,TRUE,0,0.556768285898829,EB,archived_primary_223Ma_ceiling
start_end_dist,BM,18.6797371505402,-33.3594743010804,-32.2685652101713,TRUE,1.63701436151815,0.289163126412071,OU,archived_primary_223Ma_ceiling
start_end_dist,OU,21.1527897858447,-36.3055795716894,-33.9055795716894,TRUE,0,0.655565459976155,OU,archived_primary_223Ma_ceiling
start_end_dist,EB,18.6795474669562,-31.3590949339123,-28.9590949339123,TRUE,4.94648463777711,0.0552714136117737,OU,archived_primary_223Ma_ceiling
axial_span,BM,20.602719604956,-37.2054392099119,-36.1145301190028,TRUE,0,0.615903038765781,BM,archived_primary_223Ma_ceiling
axial_span,OU,21.4190255685978,-36.8380511371955,-34.4380511371955,TRUE,1.67647898180729,0.266360340514055,BM,archived_primary_223Ma_ceiling
axial_span,EB,20.6026256149419,-35.2052512298838,-32.8052512298838,TRUE,3.30927888911906,0.117736620720165,BM,archived_primary_223Ma_ceiling
fit_radius,BM,7.44790440312142,-10.8958088062428,-9.80489971533375,TRUE,0.58419502025297,0.395197453537897,OU,archived_primary_223Ma_ceiling
fit_radius,OU,9.39454736779336,-12.7890947355867,-10.3890947355867,TRUE,0,0.529261708456009,OU,archived_primary_223Ma_ceiling
fit_radius,EB,7.44773774605477,-8.89547549210954,-6.49547549210955,TRUE,3.89361924347717,0.0755408380060941,OU,archived_primary_223Ma_ceiling
centroid_size,BM,-79.9314336671478,163.862867334296,164.862867334296,TRUE,0,0.710474225876463,BM,archived_primary_223Ma_ceiling
centroid_size,OU,-79.9312844728672,165.862568945734,168.044387127553,TRUE,3.18151979325702,0.144773836173344,BM,archived_primary_223Ma_ceiling
