term,estimate,std_error,statistic,p_value,response,predictor,n_taxa,lambda,predictor_type,fdr_p_value,calibration_scheme
n_turns_abs,359.99988388566,7.12845680819721e-05,5050179.77343548,2.44747036330987e-75,abs_winding_angle_deg,n_turns_abs,14,0,continuous,2.20272332697888e-73,archived_primary_223Ma_ceiling
start_end_dist,72.3958819732506,365.495801649644,0.198075823707129,0.846301615469354,abs_winding_angle_deg,start_end_dist,14,1,continuous,0.915090860254389,archived_primary_223Ma_ceiling
axial_span,406.830936765267,403.240831842561,1.00890312845131,0.332932304099184,abs_winding_angle_deg,axial_span,14,1,continuous,0.567155580414242,archived_primary_223Ma_ceiling
fit_radius,-257.082054568152,146.385098099871,-1.75620372500456,0.104518334668962,abs_winding_angle_deg,fit_radius,14,1,continuous,0.363360015217728,archived_primary_223Ma_ceiling
start_end_dist,0.201099894868901,1.01526646835504,0.198075974275727,0.846301500277286,n_turns_abs,start_end_dist,14,1,continuous,0.915090860254389,archived_primary_223Ma_ceiling
axial_span,1.13008830534363,1.12011364763078,1.00890504078219,0.332931423799687,n_turns_abs,axial_span,14,1,continuous,0.567155580414242,archived_primary_223Ma_ceiling
fit_radius,-0.714116924758817,0.406625435725237,-1.75620328198396,0.104518412939864,n_turns_abs,fit_radius,14,1,continuous,0.363360015217728,archived_primary_223Ma_ceiling
axial_span,0.24776349791414,0.288823049561661,0.857838383363671,0.40778894303171,start_end_dist,axial_span,14,0,continuous,0.605089215223021,archived_primary_223Ma_ceiling
fit_radius,0.0133580829257084,0.125533224325004,0.106410737058139,0.917014699683604,start_end_dist,fit_radius,14,0,continuous,0.968830448367172,archived_primary_223Ma_ceiling
fit_radius,0.136305320645857,0.105641936501301,1.29025768705194,0.221269763526353,axial_span,fit_radius,14,0.856189638142432,continuous,0.506681545831716,archived_primary_223Ma_ceiling
abs_winding_angle_deg,-0.000401573967168011,0.0002924855064509,-1.37297048336111,0.194873865541157,PC1,abs_winding_angle_deg,14,1,continuous,0.487185603582015,archived_primary_223Ma_ceiling
n_turns_abs,-0.144566464605428,0.105294758415284,-1.37296924159564,0.194874241432806,PC1,n_turns_abs,14,1,continuous,0.487185603582015,archived_primary_223Ma_ceiling
start_end_dist,-0.346212840592131,0.386276726182514,-0.896281906532849,0.387728999989145,PC1,start_end_dist,14,1,continuous,0.601648448259018,archived_primary_223Ma_ceiling
axial_span,-0.518410951888818,0.43258900380281,-1.19839142310961,0.253897057736997,PC1,axial_span,14,1,continuous,0.506681545831716,archived_primary_223Ma_ceiling
fit_radius,0.102833741658961,0.176393088883119,0.582980559556389,0.570699886432358,PC1,fit_radius,14,1,continuous,0.74439115621612,archived_primary_223Ma_ceiling
abs_winding_angle_deg,0.000324814451645248,0.000274114269060386,1.18496002692108,0.2589703894682,PC2,abs_winding_angle_deg,14,1,continuous,0.506681545831716,archived_primary_223Ma_ceiling
n_turns_abs,0.116933120280598,0.098681106428069,1.18495955824972,0.258970567869544,PC2,n_turns_abs,14,1,continuous,0.506681545831716,archived_primary_223Ma_ceiling
start_end_dist,-0.0333960378873868,0.367276039839311,-0.0909289860073586,0.929049219134463,PC2,start_end_dist,14,1,continuous,0.968830448367172,archived_primary_223Ma_ceiling
axial_span,0.395143979489324,0.405769183799659,0.973814659332087,0.349370548896035,PC2,axial_span,14,1,continuous,0.568721171110466,archived_primary_223Ma_ceiling
fit_radius,-0.0750005548999306,0.163280487840818,-0.459335686043812,0.654202878094714,PC2,fit_radius,14,1,continuous,0.841117986121775,archived_primary_223Ma_ceiling
abs_winding_angle_deg,3.68803253563582e-05,0.000196262543933493,0.187913213684093,0.854084802904096,PC3,abs_winding_angle_deg,14,0,continuous,0.915090860254389,archived_primary_223Ma_ceiling
n_turns_abs,0.0132770221829288,0.0706544913150161,0.187914765725687,0.854083613001579,PC3,n_turns_abs,14,0,continuous,0.915090860254389,archived_primary_223Ma_ceiling
start_end_dist,0.0992446809323552,0.405266479725385,0.244887465155285,0.810681096763832,PC3,start_end_dist,14,0,continuous,0.912016233859311,archived_primary_223Ma_ceiling
