"trait","method","estimate","statistic","p_value","fdr_p_value","calibration_scheme"
"PC1","Blomberg_K",1.69605147768914,,0.003,0.00942857142857143,"archived_primary_223Ma_ceiling"
"PC1","Pagel_lambda",1.14072452606432,17.4616191650144,0.000112655000742896,0.00247841001634372,"archived_primary_223Ma_ceiling"
"PC2","Blomberg_K",1.70522797948022,,0.002,0.00733333333333333,"archived_primary_223Ma_ceiling"
"PC2","Pagel_lambda",1.12008512048192,17.1414606059148,0.00170584353775227,0.00733333333333333,"archived_primary_223Ma_ceiling"
"PC3","Blomberg_K",0.664895532448441,,0.319,0.501285714285715,"archived_primary_223Ma_ceiling"
"PC3","Pagel_lambda",4.30542001610062e-05,17.3782689020234,1,1,"archived_primary_223Ma_ceiling"
"PC4","Blomberg_K",0.834483346135141,,0.0760000000000001,0.152,"archived_primary_223Ma_ceiling"
"PC4","Pagel_lambda",0.931999725040018,20.6932216255826,0.609411371720229,0.752888888888889,"archived_primary_223Ma_ceiling"
"PC5","Blomberg_K",0.832697306463859,,0.115,0.210833333333333,"archived_primary_223Ma_ceiling"
"PC5","Pagel_lambda",0.511572174449098,27.0034859159894,0.516641356757246,0.710381865541213,"archived_primary_223Ma_ceiling"
"abs_winding_angle_deg","Blomberg_K",1.6444524782885,,0.002,0.00733333333333333,"archived_primary_223Ma_ceiling"
"abs_winding_angle_deg","Pagel_lambda",1.12404464291322,-80.3939352644841,0.000925974169800544,0.00679047724520399,"archived_primary_223Ma_ceiling"
"n_turns_abs","Blomberg_K",1.64445232604426,,0.004,0.011,"archived_primary_223Ma_ceiling"
"n_turns_abs","Pagel_lambda",1.12404468731329,2.01151774519697,0.00092597308555357,0.00679047724520399,"archived_primary_223Ma_ceiling"
"start_end_dist","Blomberg_K",0.55816739376503,,0.47,0.689333333333334,"archived_primary_223Ma_ceiling"
"start_end_dist","Pagel_lambda",4.36026388252858e-05,20.9951355621404,1,1,"archived_primary_223Ma_ceiling"
"axial_span","Blomberg_K",0.686857027125481,,0.275,0.465384615384616,"archived_primary_223Ma_ceiling"
"axial_span","Pagel_lambda",4.36026388252858e-05,21.418978430663,1,1,"archived_primary_223Ma_ceiling"
"fit_radius","Blomberg_K",0.58874298555115,,0.616,0.752888888888889,"archived_primary_223Ma_ceiling"
"fit_radius","Pagel_lambda",1.14932037987377,9.34510308312829,0.956207804213837,1,"archived_primary_223Ma_ceiling"
"centroid_size","Blomberg_K",1.40957549253372,,0.005,0.0122222222222222,"archived_primary_223Ma_ceiling"
"centroid_size","Pagel_lambda",1.12831681861079,-79.7608492960993,0.033546791573269,0.0738029414611919,"archived_primary_223Ma_ceiling"
"PC1","Blomberg_K",1.6088280329872,,0.004,0.011,"updated_195Ma_root_sensitivity"
"PC1","Pagel_lambda",1.12590273989576,17.1526834658133,0.000156366862311445,0.0034400709708518,"updated_195Ma_root_sensitivity"
"PC2","Blomberg_K",1.7975105024262,,0.002,0.00733333333333333,"updated_195Ma_root_sensitivity"
"PC2","Pagel_lambda",1.10604041936729,17.2956852629603,0.00144276551218877,0.00733333333333333,"updated_195Ma_root_sensitivity"
"PC3","Blomberg_K",0.636577325570501,,0.32,0.502857142857143,"updated_195Ma_root_sensitivity"
"PC3","Pagel_lambda",4.19561645018208e-05,17.3782613547911,1,1,"updated_195Ma_root_sensitivity"
"PC4","Blomberg_K",0.799015295778166,,0.0800000000000001,0.16,"updated_195Ma_root_sensitivity"
"PC4","Pagel_lambda",4.19561645018208e-05,20.5626625931001,1,1,"updated_195Ma_root_sensitivity"
"PC5","Blomberg_K",0.825592200107095,,0.1,0.183333333333333,"updated_195Ma_root_sensitivity"
"PC5","Pagel_lambda",0.511003909904107,27.0118047046541,0.508462233382693,0.699135570901203,"updated_195Ma_root_sensitivity"
"abs_winding_angle_deg","Blomberg_K",1.62703686592846,,0.002,0.00733333333333333,"updated_195Ma_root_sensitivity"
"abs_winding_angle_deg","Pagel_lambda",1.11129732990622,-80.3864109551208,0.000918485404296215,0.00673555963150558,"updated_195Ma_root_sensitivity"
"n_turns_abs","Blomberg_K",1.62703677385569,,0.005,0.0122222222222222,"updated_195Ma_root_sensitivity"
"n_turns_abs","Pagel_lambda",1.11129736971293,2.01904230585059,0.00091848407983648,0.00673555963150558,"updated_195Ma_root_sensitivity"
"start_end_dist","Blomberg_K",0.525877307065087,,0.487,0.699135570901203,"updated_195Ma_root_sensitivity"
"start_end_dist","Pagel_lambda",4.25604988132442e-05,20.9951245569043,1,1,"updated_195Ma_root_sensitivity"
"axial_span","Blomberg_K",0.664169396682123,,0.272,0.460307692307693,"updated_195Ma_root_sensitivity"
"axial_span","Pagel_lambda",4.25604988132442e-05,21.4189693136047,1,1,"updated_195Ma_root_sensitivity"
"fit_radius","Blomberg_K",0.56584965644832,,0.611,0.790705882352942,"updated_195Ma_root_sensitivity"
"fit_radius","Pagel_lambda",4.25604988132442e-05,9.34350045061182,1,1,"updated_195Ma_root_sensitivity"
"centroid_size","Blomberg_K",1.45778744694178,,0.003,0.00942857142857143,"updated_195Ma_root_sensitivity"
"centroid_size","Pagel_lambda",1.11368689645076,-79.7453456710115,0.0329444858301936,0.0724778688264259,"updated_195Ma_root_sensitivity"
