quality_set,trait,best_model,n_trees,prop_trees
primary_adequate,PC1,BM,24,0.6153846153846154
primary_adequate,PC1,EB,12,0.3076923076923077
primary_adequate,PC1,OU,3,0.0769230769230769
primary_adequate,PC2,BM,3,0.0769230769230769
primary_adequate,PC2,EB,36,0.9230769230769231
primary_adequate,PC3,BM,21,0.5384615384615384
primary_adequate,PC3,OU,18,0.4615384615384616
primary_adequate,PC4,BM,24,0.6153846153846154
primary_adequate,PC4,OU,15,0.3846153846153846
primary_adequate,PC5,BM,15,0.3846153846153846
primary_adequate,PC5,OU,24,0.6153846153846154
primary_adequate,abs_winding_angle_deg,BM,33,0.8461538461538461
primary_adequate,abs_winding_angle_deg,EB,3,0.0769230769230769
primary_adequate,abs_winding_angle_deg,OU,3,0.0769230769230769
primary_adequate,axial_pitch_360,BM,30,0.7692307692307693
primary_adequate,axial_pitch_360,EB,3,0.0769230769230769
primary_adequate,axial_pitch_360,OU,6,0.1538461538461539
primary_adequate,axial_span,BM,24,0.6153846153846154
primary_adequate,axial_span,OU,15,0.3846153846153846
primary_adequate,centroid_size,BM,27,0.6923076923076923
primary_adequate,centroid_size,OU,12,0.3076923076923077
primary_adequate,fit_radius,BM,12,0.3076923076923077
primary_adequate,fit_radius,EB,27,0.6923076923076923
primary_adequate,n_turns_abs,BM,33,0.8461538461538461
primary_adequate,n_turns_abs,EB,3,0.0769230769230769
primary_adequate,n_turns_abs,OU,3,0.0769230769230769
primary_adequate,start_end_dist,BM,12,0.3076923076923077
primary_adequate,start_end_dist,OU,27,0.6923076923076923
strict_good,PC1,BM,36,0.9230769230769231
strict_good,PC1,OU,3,0.0769230769230769
strict_good,PC2,BM,3,0.0769230769230769
strict_good,PC2,EB,36,0.9230769230769231
strict_good,PC3,BM,21,0.5384615384615384
strict_good,PC3,OU,18,0.4615384615384616
strict_good,PC4,BM,27,0.6923076923076923
strict_good,PC4,OU,12,0.3076923076923077
strict_good,PC5,BM,27,0.6923076923076923
strict_good,PC5,OU,12,0.3076923076923077
strict_good,abs_winding_angle_deg,BM,21,0.5384615384615384
strict_good,abs_winding_angle_deg,OU,18,0.4615384615384616
strict_good,axial_pitch_360,BM,24,0.6153846153846154
strict_good,axial_pitch_360,OU,15,0.3846153846153846
strict_good,axial_span,BM,12,0.3076923076923077
strict_good,axial_span,OU,27,0.6923076923076923
strict_good,centroid_size,BM,33,0.8461538461538461
strict_good,centroid_size,EB,6,0.1538461538461539
strict_good,fit_radius,BM,36,0.9230769230769231
strict_good,fit_radius,OU,3,0.0769230769230769
strict_good,n_turns_abs,BM,21,0.5384615384615384
strict_good,n_turns_abs,OU,18,0.4615384615384616
strict_good,start_end_dist,BM,12,0.3076923076923077
strict_good,start_end_dist,OU,27,0.6923076923076923
