quality_set,tree_id,trait,method,estimate,statistic,p_value,reason,source_path,variant_group,note,n_tips,is_rooted,is_ultrametric,tree_height,total_branch_length,rf_distance_vs_reference
primary_adequate,working_tree,PC1,Blomberg_K,1.60873830233973e+00,NA,4.00000000000000e-03,NA,data/phylogeny/P01_Trees/01_primary_tree_calibrated_grafen.tre,working,Primary tree used in main PCM workflow.,14,TRUE,TRUE,213.24785314200,1851.62772351900003,0
primary_adequate,working_tree,PC1,Pagel_lambda,1.14824107760172e+00,16.329043468565786,1.70703281650722e-04,NA,data/phylogeny/P01_Trees/01_primary_tree_calibrated_grafen.tre,working,Primary tree used in main PCM workflow.,14,TRUE,TRUE,213.24785314200,1851.62772351900003,0
primary_adequate,working_tree,PC2,Blomberg_K,1.62758458014119e+00,NA,3.00000000000000e-03,NA,data/phylogeny/P01_Trees/01_primary_tree_calibrated_grafen.tre,working,Primary tree used in main PCM workflow.,14,TRUE,TRUE,213.24785314200,1851.62772351900003,0
primary_adequate,working_tree,PC2,Pagel_lambda,1.13053068011371e+00,15.050279215231789,2.07442915497067e-03,NA,data/phylogeny/P01_Trees/01_primary_tree_calibrated_grafen.tre,working,Primary tree used in main PCM workflow.,14,TRUE,TRUE,213.24785314200,1851.62772351900003,0
primary_adequate,working_tree,PC3,Blomberg_K,6.42617330022473e-01,NA,3.35000000000000e-01,NA,data/phylogeny/P01_Trees/01_primary_tree_calibrated_grafen.tre,working,Primary tree used in main PCM workflow.,14,TRUE,TRUE,213.24785314200,1851.62772351900003,0
primary_adequate,working_tree,PC3,Pagel_lambda,4.36026388252858e-05,16.424587863436940,1.00000000000000e+00,NA,data/phylogeny/P01_Trees/01_primary_tree_calibrated_grafen.tre,working,Primary tree used in main PCM workflow.,14,TRUE,TRUE,213.24785314200,1851.62772351900003,0
primary_adequate,working_tree,PC4,Blomberg_K,7.44902624727854e-01,NA,1.71000000000000e-01,NA,data/phylogeny/P01_Trees/01_primary_tree_calibrated_grafen.tre,working,Primary tree used in main PCM workflow.,14,TRUE,TRUE,213.24785314200,1851.62772351900003,0
primary_adequate,working_tree,PC4,Pagel_lambda,4.36026388252858e-05,19.310574796812613,1.00000000000000e+00,NA,data/phylogeny/P01_Trees/01_primary_tree_calibrated_grafen.tre,working,Primary tree used in main PCM workflow.,14,TRUE,TRUE,213.24785314200,1851.62772351900003,0
primary_adequate,working_tree,PC5,Blomberg_K,6.60495706187943e-01,NA,2.94000000000000e-01,NA,data/phylogeny/P01_Trees/01_primary_tree_calibrated_grafen.tre,working,Primary tree used in main PCM workflow.,14,TRUE,TRUE,213.24785314200,1851.62772351900003,0
primary_adequate,working_tree,PC5,Pagel_lambda,4.36026388252858e-05,27.167808890369127,1.00000000000000e+00,NA,data/phylogeny/P01_Trees/01_primary_tree_calibrated_grafen.tre,working,Primary tree used in main PCM workflow.,14,TRUE,TRUE,213.24785314200,1851.62772351900003,0
